"rcp_sno","ckg_nm","inq_cnt","rcmm_cnt","srap_cnt","ckg_mth_acto_nm","ckg_sta_acto_nm","ckg_knd_acto_nm","ckg_mtrl_acto_nm","ckg_mtrl_cn","ckg_inbun_nm","ckg_dodf_nm","ckg_time_nm"
6870941,간장어묵볶음,94280,"41","2731",볶음,초스피드,밑반찬,가공식품류,[재료] 길쭉한 어묵 10개| 당근 1/4개| 양파 1/4개| 다진파 1큰술| 다진마늘 1큰술| 통깨 약간| 물 4큰술 [양념] 간장 2큰술| 맛술 1작은술| 올리고당 1큰술| 참기름 1큰술,"3인분",아무나,"15분이내"
6870957,깍뚜기,72464,"17","2814",절임,일상,김치/젓갈/장류,채소류,[재료] 무(중간크기) 2개| 잔파 4대| 소금 1줌| 사이다 무가잠길정도 [깍두기 양념] 고추가루 1/2컵+1큰술| 다진마늘 1큰술| 양파 1/2개| 사과 1/3개| 생강(마늘크기) 1톨| 새우젓 1큰술| 액젓 1큰술| 찹쌀풀 1컵| 매실액 2큰술 [찹쌀풀재료] 물 1컵| 찹쌀가루 3큰술,"6인분이상",아무나,"2시간이상"
6870970,끈기덮밥,69782,"37","909",볶음,일상,밥/죽/떡,돼지고기,[필수재료] 목살 200g| 토마토소스 1/2병(150g)| 다진양파 1개| 대파 3T| 청양고추 2개 [양념재료] 소금 약간| 후추 약간 [선택재료] 반숙 달걀 1개,"4인분",아무나,"30분이내"
6870975,삼겹살김치볶음밥,104535,"165","3242",볶음,일상,밥/죽/떡,돼지고기,[필수재료] 삼겹살 2줄| 밥 1공기| 김치 1cup| 대파 10cm [양념재료] 간장 1T| 고춧가루 1/2T| 고추장 1/2T| 후추 약간| 설탕 1/2T| 참기름 1/2T [선택재료] 김 가루 적당량,"1인분",아무나,"30분이내"
6870988,햄버거,69068,"2","565",부침,간식,빵,소고기,[재료] 소고기우둔살 갈은것 200g| 돼지고기 간것 200g| 양파 중간크기 1개| 빵가루 3/4컵| 후추 톡톡| 소금 약간,"6인분이상",아무나,"30분이내"
6871018,달래간장,92050,"11","2052",비빔,일상,김치/젓갈/장류,채소류,[주재료] 달래 1봉지 [선택 재료] 청양고추 2개 [양념 재료] 진간장 8큰술| 설탕 0.5큰술| 고춧가루 1큰술| 다진 마늘 0.5큰술| 매실액 1큰술| 참기름 0.5큰술| 통깨 1큰술,"2인분",아무나,"15분이내"
6871034,오이지,260048,"14","1157",절임,일상,김치/젓갈/장류,채소류,[재료] 오이반접 50개| 천일염 4컵| 식초 4컵| 설탕 1kg,"6인분이상",초급,"2시간이상"
6871038,소고기볶음밥,121950,"84","5173",볶음,일상,밥/죽/떡,소고기,[재료] 소고기다짐육 130g| 쥬키니호박 1/4개| 작은 당근 1/2개| 작은 대파 1대 [소고기볶기양념] 맛간장 1티스푼 | 올리고당 1티스푼 | 후추 톡톡| 맛술 1큰술,"2인분",아무나,"10분이내"
6871047,오이고추된장무침,60915,"21","1334",무침,일상,밑반찬,채소류,[재료] 오이고추 6개 (200g정도) [양념] 된장 1큰술| 고추장 1/2큰술| 다진마늘 1큰술| 참기름 1/2큰술| 올리고당 1/2큰술| 통깨 솔솔,"3인분",아무나,"10분이내"
6871060,오이크래미무침,121165,"54","7436",무침,초스피드,밑반찬,채소류,[재료] 오이 1개| 크래미 160g| 당근 조금| 작은양파 1/2개 [양념] 소금 1티스푼| 다진마늘 1/2큰술| 통깨 솔솔,"6인분이상",아무나,"30분이내"
6871072,칠리새우,122427,"87","2462",볶음,일상,메인반찬,해물류,[재료] 칵테일새우 1컵| 버터 1큰술| 다진 마늘 1큰술| 식용유 2큰술| 후추 약간| 청양고추(선택) 1개 [소스] 고춧가루 1큰술| 설탕 1큰술| 진간장 1큰술| 식초 1큰술| 케찹 1큰술| 물 약간,"2인분",초급,"15분이내"
6871073,오이냉국,74108,"24","187",끓이기,일상,국/탕,채소류,[오이냉국 재료] 오이 1개| 양파 1/6개| 홍고추 약간| 청양고추(선택)| 얼음 적당히| 깨소금(선택) [육수양념 재료] 설탕 1t| 소금 2/3t| 연두 1~2방울| 2배 식초 1T| 생수 2컵 [오이 양념] 설탕 1t| 소금 1/2t| 마늘 1/2t,"2인분",아무나,"10분이내"
6871080,양배추보관,119726,"74","706",기타,기타,기타,채소류,[재료] 양배추 1통,"2인분",아무나,"5분이내"
6871081,키위에이드,58773,"48","448",기타,초스피드,차/음료/술,과일류,[재료] 골드키위 4개| 탄산수 200ml| 꿀 2T| 얼음 1cup,"3인분",아무나,"10분이내"
6871097,액젓소불고기,64359,"75","1960",볶음,일상,메인반찬,소고기,[재료] 소고기 불고기감 500g| 송송 썬 대파 1주먹| 설탕 4TS| 액젓 4TS| 다진마늘 2TS| 참기름 조금| 양파 1/2개| 표고버섯 느타리버섯 팽이버섯 등 취향것 [육수] 물 3/4컵| 설탕 1TS| 다진마늘 1TS| 간장 2TS,"4인분",아무나,"30분이내"
6871104,김치찜,535324,"178","31130",찜,초스피드,메인반찬,채소류,[재료] 김치 1/4포기| 돼지고기 200g| 대파 1/2줄기 [양념] 참기름 2T| 설탕 1T| 맛술 3T,"2인분",아무나,"30분이내"
6871127,소고기주먹밥,114628,"224","4807",볶음,도시락,밥/죽/떡,소고기,[필수재료] 밥 1공기| 다진 소고기 1cup| 애호박 1/4개| 당근 1/4개 [양념재료] 간장 1T| 설탕 1/2T| 후추 약간| 참기름 1T| 소금 약간| 참기름 약간,"2인분",아무나,"30분이내"
6871131,감자삶는법,100507,"4","78",삶기,간식,기타,채소류,[감자 삶는 재료] 감자 (중) 5개| 소금 1/2티스푼| 물 2.5컵,"2인분",아무나,"30분이내"
6871169,오이냉국,67502,"170","2491",끓이기,초스피드,국/탕,채소류,[재료] 오이 1개| 미역 약간| 물 2컵 [양념] 식초 5T| 설탕 2T| 고추가루 1/2T| 간마늘 1T| 깨소금 1T| 소금 1/2T| 간장 1/2T,"2인분",아무나,"10분이내"
6871186,마늘보관,151439,"67","664",기타,기타,기타,채소류,[재료] 깐통마늘 적당량| 다진마늘 적당량,"2인분",아무나,"5분이내"
6871187,갈릭버터새우구이,59302,"123","1160",굽기,술안주,메인반찬,해물류,[필수재료] 새우 7마리| 다진마늘 2T| 버터 2T| 파슬리가루 1T| 후추 약간| 소금 약간,"1인분",아무나,"30분이내"
6871193,쪽파무침,132703,"15","9442",무침,초스피드,밑반찬,채소류,[재료] 쪽파 20줄기 [양념] 간장 1.5T| 설탕 1.5T| 식초 1.5T| 고춧가루 2T| 참기름 1T| 통깨 1/2T,"3인분",아무나,"5분이내"
6871202,감자짜글이,245286,"171","1471",끓이기,일상,찌개,채소류,[재료] 감자 2~3개| 양파 1개| 스팸 1캔| 청양고추 2~3개| 대파 1개 [양념] 고추장 1큰술| 고춧가루 2큰술| 된장 1/3큰술| 간장 3~4큰술| 설탕 1큰술| 물 2컵| 마늘 1큰술,"4인분",초급,"30분이내"
6871205,참치전,81977,"127","1456",부침,일상,밑반찬,가공식품류,[재료] 참치 1캔| 냉장고속야채| 계란 2~3개,"4인분",아무나,"15분이내"
6871251,우엉볶음,57047,"5","89",볶음,일상,밑반찬,채소류,[재료] 우엉채 250g | 식초 1큰술| 천일염 1작은술 [재료] 다시물 1/2컵| 맛간장 2큰술| 참치액이나 멸치액젓 1큰술| 매실청 1큰술| 맛술 1큰술| 흑설탕 1큰술| 물엿 2큰술| 참기름 1작은술| 통깨 1작은술,"6인분이상",아무나,"30분이내"
6871262,오이무침,89849,"152","1335",무침,초스피드,밑반찬,채소류,[필수재료] 오이 2개| 양파 1/4개 [양념재료] 고춧가루 2T| 고추장 1T| 설탕 1T| 식초 2T| 다진마늘 1/2T| 참깨 1/2T| 간장 1T,"4인분",아무나,"10분이내"
6871269,간장돼지불고기,108805,"22","4013",볶음,일상,메인반찬,돼지고기,[재료] 불고기용 돼지고기 600g| 대파 1대| 통마늘 7개| 양파 1/2개 [양념] 양파 1/2개| 간장 6| 올리고당 3| 갈색설탕 1| 다진마늘 2| 후추 톡톡톡| 맛술 3큰술| 생강 1/2티스푼,"3인분",아무나,"30분이내"
6871272,감자두부조림,58602,"19","3198",조림,초스피드,메인반찬,채소류,[재료] 두부 1모| 감자(소) 6개(650g)| 양파(중) 1개(150g)| 잔파(쪽파) 6줄기 [양념] 진간장 3T| 국간장 3T| 물 1cup| 매실청 1T| 아가베/물엿/올리고당 2T| 간마늘 1T| 고추장 2T| 고추가루 2T,"4인분",초급,"30분이내"
6871285,볶음김치,87595,"18","5004",볶음,초스피드,밑반찬,채소류,[재료] 배추김치 1/4포기 [양념] 다진마늘 1수저| 들기름 3| 카놀라유 1| 깨소금,"2인분",아무나,"15분이내"
6871306,매운감자조림,62560,"56","1857",조림,일상,밑반찬,채소류,[재료] 감자 3알| 양파 1/2개| 고춧가루 1숟갈| 물 소주잔 1잔| 올리고당 2숟갈| 후추 톡톡 [고추기름만들기] 식용유 3숟갈| 고춧가루 1숟갈| 다진마늘 1숟갈| 대파 쫑쫑썰어 1/2대 [양념] 간장 3숟갈| 고춧가루 1숟갈| 물 소주잔 1잔| 올리고당 2숟갈| 후추 톡톡톡,"2인분",아무나,"15분이내"
6871317,알배기배추겉절이,163233,"19","1624",무침,일상,김치/젓갈/장류,채소류,[재료] 알배기 배추 1통(800g~900g)| 굵은소금 3| 물 100ml [양념재료] 고춧가루 4| 설탕 1| 다진 마늘 1.5| 멸치 액젓 1| 새우젓 3,"5인분",아무나,"90분이내"
6871332,고등어김치찜,237901,"22","3834",찜,일상,메인반찬,해물류,[재료] 김치 1/4포기| 고등어 1/2마리(또는 통조림한캔)| 대파 1대| 청양고추 2개| 홍고추 1개| 무 1/4개| 양파 1/2개| 물 [양념재료] 고추가루 1스푼| 간장 2스푼| 마늘 1스푼| 설탕 1스푼| 된장 1스푼| 고추장 1스푼,"3인분",아무나,"60분이내"
6871338,제육볶음,74778,"84","1824",볶음,술안주,메인반찬,돼지고기,[필수재료] 목살 300g| 대파 10cm 2개| 양파 1/2개| 청양고추 1개| 소면 1인분 [양념재료] 고추장 2T| 고춧가루 2T| 간장 1T| 다진마늘 1T| 설탕 1T| 맛술 2T| 후추 약간,"2인분",아무나,"30분이내"
6871340,콩나물국,89662,"68","761",끓이기,일상,국/탕,채소류,[필수재료] 콩나물 200g| 대파 10cm| 멸치다시마육수 800ml [양념재료] 다진마늘 1/2T| 국간장 1T| 새우젓 1/2T| 소금 약간 [선택재료] 청양고추 1개,"4인분",아무나,"30분이내"
6871341,호박죽,73024,"23","458",끓이기,일상,밥/죽/떡,채소류,[필수재료] 늙은호박 600g| 단호박 1/2개| 삶은 팥 1cup| 물 1L| 찹쌀가루 1cup [양념재료] 소금 2T| 설탕 4T [선택재료] 호박씨or해바라기씨 약간,"6인분이상",아무나,"60분이내"
6871391,닭백숙,75008,"9","248",끓이기,영양식,국/탕,닭고기,[닭백숙 재료] 닭 1마리| 인삼 1뿌리| 대추 10개| 마늘 10개| 엄나무 1| 가시오가피나무| 당귀| 대파 2| 생강 약간 [양념] 소금| 후춧가루| 깨소금,"3인분",아무나,"60분이내"
6871398,깻잎김치,75320,"37","1497",절임,일상,밑반찬,채소류,[주재료] 깻잎 60장 [선택 재료] 당근 1/2개| 다진 파 2큰술 [양념 재료] 진간장 10큰술| 고춧가루 4큰술| 설탕 2큰술| 다진 마늘 1큰술| 매실액 2큰술| 맛술 2큰술| 통깨 1큰술,"2인분",초급,"30분이내"
6871438,대패삼겹살말이,71084,"26","4989",굽기,손님접대,메인반찬,돼지고기,[재료] 대패돼지고기 300g| 무순 1 팩| 파프리카 1/2개| 팽이버섯 1봉지 [양념] 간장 2큰술| 맛술 1큰술| 설탕 1/2큰술| 다진마늘 1/2큰술,"2인분",아무나,"10분이내"
6871448,짬뽕,250742,"26","2171",끓이기,손님접대,면/만두,해물류,[재료] 오징어 1마리| 돼지고기 1컵| 새우 원하는양| 홍합 원하는양| 잘게썬 파 1컵| 다진 생강 1큰술| 채썬 양파 1컵| 채썬 호박 1컵| 채썬 당근 1/2컵| 매운고추 원하는양| 부추 원하는양| 멸치다시마육수(또는 물) 원하는양| 다진 마늘 (선택) 1큰술 [양념재료] 올리브유(또는 식용유) 3큰술| 간장 3큰술| 고추가루 3큰술| 피쉬액젓 1큰술| 소금 약간,"4인분",아무나,"60분이내"
6871454,감자보관,198300,"77","926",기타,기타,기타,채소류,[재료] 감자 적당량,"6인분이상",아무나,"5분이내"
6871467,부추달걀볶음,87487,"16","6087",볶음,초스피드,밑반찬,달걀/유제품,[재료] 계란 3개| 부추 1줌| 굴소스 1큰술| 참기름 1큰술| 식용유 적당량,"2인분",아무나,"10분이내"
6871475,해물볶음우동,61863,"11","3107",볶음,일상,면/만두,해물류,[재료] 깐새우 150g| 오징어 1마리| 우동면 2봉| 숙주 150g| 양파 1/2개| 대파 1/2대| 청양고추 2개| 홍고추 1개| 마늘 6쪽 [양념소스] 굴소스 2큰술| 간장 2큰술| 고춧가루 1/2큰술| 매실주 1큰술| 올리고당 기호껏| 참기름 약간| 깨소금 약간,"3인분",초급,"30분이내"
6871515,딸기바나나쥬스,70583,"79","688",기타,간식,차/음료/술,과일류,[필수재료] 냉동 딸기 15개| 바나나 2개| 꿀 3T| 우유 180ml| 얼음 1cup,"4인분",아무나,"5분이내"
6871516,참치미니버거,88404,"129","913",부침,간식,빵,가공식품류,[필수재료] 참치 통조림 150g| 대파 1대| 양파 1/2개| 당근 1/3개| 청양고추 2개| 달걀 2개| 부침가루 4T| 모닝빵 적당량| 오이 적당량| 양상추 적당량 [양념재료] 다진마늘 1/2T| 소금 1/3T| 설탕 1/3T| 액젓 1T [소스재료] 마요네즈 2T| 케찹 2T,"2인분",아무나,"30분이내"
6871571,오징어무국,99093,"28","3303",끓이기,일상,국/탕,해물류,[재료] 오징어 1마리| 무 오징어와동량| 다진마늘 1큰술| 액젓 2큰술| 국간장 3큰술| 멸치다시마육수(또는 물) 8컵~ 10컵,"4인분",아무나,"60분이내"
6871576,오이보관,92684,"79","540",기타,기타,기타,채소류,[재료] 오이| 키친타월| 지퍼백| 패트병,"6인분이상",아무나,"5분이내"
6871577,오이소박이,69898,"38","1059",무침,일상,김치/젓갈/장류,채소류,[필수재료] 오이 4개| 부추 1줌| 당근 1/3개| 양파 1/2개| 물 800ml| 굵은 소금 4T [양념재료] 고춧가루 4T| 멸치액젓 2T| 설탕 1/2T| 매실 1/2T| 다진마늘 1T,"4인분",아무나,"30분이내"
6871578,감자전,103490,"23","5725",부침,일상,메인반찬,채소류,[재료] 큰 감자 1개| 베이컨 3줄| 슬라이스치즈 2장| 튀김가루 2T| 파슬리 2꼬집| 소금 2꼬집,"2인분",아무나,"15분이내"
6871616,콩나물국,112170,"28","3756",끓이기,일상,국/탕,채소류,[재료] 콩나물 1/2봉지| 대파 송송| 국간장 2/3T| 다진마늘 1/2T| 새우젓 1/2t| 소금 조금| 후추 톡톡| 육수용멸치| 청양고추 입맛에맞게,"2인분",아무나,"10분이내"
6871617,주꾸미볶음,64113,"17","384",볶음,손님접대,메인반찬,해물류,[재료] 쭈꾸미 6마리(500g)| 양배추 1줌| 대파 7센티| 당근 0.5센티| 땡초(생략가능) 2개 [양념] 【333양념장】 .| 고추장 1/3T| 참기름 1T| 매실액 4T| 다진마늘 1/4T| 소금 1T| 표고가루 1T| 다시마가루 1/3T| 카레가루 1/4T [볶을때추가양념] 고춧가루 4T| 식용유 4T| 설탕 1T,"2인분",아무나,"30분이내"
6871621,대패두부조림,78762,"73","2105",조림,일상,메인반찬,돼지고기,[두부조림 재료] 대패 삼겹살 2줌(가볍게)| 두부 1모| 대파 1대| 청양고추 2개| 다진 마늘 1큰술 [양념 재료] 진간장 1/3컵| 설탕 1큰술| 고춧가루 2큰술| 액젓 1큰술| 들기름 2큰술| 물 1컵| 깨소금 2큰술| 후춧가루 약간,"4인분",아무나,"30분이내"
6871622,참치쌈장,68035,"38","3789",비빔,초스피드,김치/젓갈/장류,가공식품류,[재료] 참치캔 340g| 매운고추 2개| 잔파 2대| 양파 1개 [양념재료] 된장 4큰술| 고추장 4큰술| 물 1/2컵| 고추가루 2큰술| 간마늘 2큰술| 설탕 1/2큰술| 매실청 1큰술| 참기름 2큰술,"6인분이상",아무나,"15분이내"
6871626,열무비빔밥,111639,"38","5730",비빔,일상,밥/죽/떡,채소류,[재료] 밥 1공기| 열무 1/2밥공기양| 참치캔 100g(제일작은사이즈)| 계란 1개 [양념재료] 고추장 1스푼| 참기름 1스푼| 올리고당 1스푼| 깨 1스푼| 마늘 1/3스푼| 간장 1스푼,"1인분",아무나,"10분이내"
6871631,양배추삶는법,71280,"20","843",삶기,일상,기타,채소류,[재료] 양배추 먹을만큼,"2인분",아무나,"15분이내"
6871655,아보카도명란비빔밥,114039,"24","1108",비빔,영양식,밥/죽/떡,과일류,[재료] 아보카도 큰거 1/2개| 명란젓 1개| 계란 1개| 연와사비 엄지손톱만큼| 간장 1스푼| 참기름 1스푼,"1인분",아무나,"15분이내"
6871685,삼겹살오븐구이,94762,"151","2283",굽기,손님접대,메인반찬,돼지고기,[재료] 통삼겹 300g| 간장 1/2cup| 설탕 2T| 다진마늘 2T| 맛술 1T| 후추 약간| 소금 약간,"2인분",초급,"60분이내"
6871686,토마토주스,129247,"16","585",기타,일상,차/음료/술,채소류,[재료] 토마토 4개| 꿀 2T| 얼음 2Cup,"3인분",아무나,"10분이내"
6871688,상추전,76907,"87","1294",부침,술안주,메인반찬,채소류,[필수재료] 상추 15장| 부침가루 1cup| 달걀 1개| 물 1cup [선택재료] 간장 2T| 식초 1T| 물 1T| 청양고추 1/2개,"4인분",아무나,"10분이내"
6871696,돈까스,77988,"10","652",튀김,도시락,메인반찬,돼지고기,[재료] 돈까스용돼지고기(등심)| 밀가루| 빵가루| 계란| 식용유| 허브솔트,"6인분이상",아무나,"30분이내"
6871728,참치김치볶음,349951,"32","21415",볶음,초스피드,메인반찬,가공식품류,[재료] 김치 1그릇| 참치 150g| 대파 1/2줄기| 참기름 1스푼| 설탕 1.5T,"3인분",아무나,"15분이내"
6871738,짬뽕,68684,"20","3352",끓이기,일상,면/만두,해물류,[재료] 오징어 1마리| 새우 4마리| 돼지고기 80g| 양배추 2줌| 양파 1개| 대파 1줄기| 호박 1/3개| 땡초 2개 [양념] 식용유 4T| 다진마늘 2T| 고춧가루 6T| 간장 2T| 액젓 1T| 후추 4~5번톡톡| 맛소금 1T| 맛술 2T,"3인분",아무나,"30분이내"
6871766,상추보관,100327,"86","622",기타,기타,기타,채소류,[재료] 상추,"2인분",아무나,"5분이내"
6871767,상추비빔밥,69095,"155","1484",비빔,초스피드,밥/죽/떡,채소류,[필수재료] 상추 8장| 당근 1/6개| 김치 1/2cup| 밥 1공기| 참기름 1T [양념재료 2인분] 고추장 1T| 설탕 1/2T| 참기름 1T [선택재료] 달걀 1개,"1인분",아무나,"30분이내"
6871779,크림파스타,211189,"17","7057",기타,일상,면/만두,밀가루,[재료] 파스타면 2인분| 베이컨 5줄| 양파 1/2개| 새송이버섯 1개| 슬라이스치즈 1장| 마늘 3알| 새우(생략가능) 조금 [소스] 우유 250ml| 생크림 250ml| 슬라이스치즈 1장| 올리브유 적당량| 소금 약간| 후추 약간| 파마산치즈가루 적당량,"2인분",아무나,"30분이내"
6871781,오이무침,120818,"10","257",무침,일상,밑반찬,채소류,[재료] 재료 : 오이 1개반| 양파 1/2개| 굵은소금 약간 [양념] 다진마늘 1큰술| 설탕 1큰술| 식초 1큰술| 고춧가루 1/2큰술| 고추장 1큰술| 올리고당 1큰술| 참기름| 통깨 약간씩,"4인분",아무나,"15분이내"
6871820,돼지고기부추만두,74147,"13","1687",찜,간식,면/만두,돼지고기,[재료] 돼지고기 간것 2컵| 잘게 썬 파 2컵| 잘게 썬 부추 2컵| 다진 생강 1/2큰술 [양념] 설탕 2/3큰술| 간장 5큰술| 굴 소스 1큰술| 올리브유(또는 식용유) 2큰술| 물 1/2컵| 참기름 1큰술| 후춧가루 약간,"6인분이상",아무나,"2시간이내"
6871822,바나나식초,72422,"97","622",절임,일상,양념/소스/잼,과일류,[필수재료] 바나나 5개(400g)| 흑설탕 2cup| 식초 2cup,"6인분이상",아무나,"30분이내"
6871823,참치밥전,58834,"96","1151",부침,야식,밥/죽/떡,가공식품류,[반죽재료] 참치 통조림 150g| 대파 1대| 양파 1/2개| 당근 1/3개| 청양고추 2개| 달걀 2개| 부침가루 4T [필수재료] 밥 1/2공기| 옥수수콘 2T [양념재료] 다진마늘 1/2T| 소금 1/3T| 설탕 1/3T| 액젓 1T,"2인분",아무나,"30분이내"
6871830,닭봉구이,89481,"9","2213",굽기,간식,메인반찬,닭고기,[재료] 닭봉 8조각| 우유| 올리브유| 소금| 후추| 파슬리가루 [양념] 설탕 1| 간장 3| 맛술 1| 물 3| 물엿 1| 마늘 5쪽,"2인분",중급,"60분이내"
6871832,LA갈비,57055,"12","732",굽기,일상,메인반찬,소고기,[재료] LA갈비 1kg [갈비양념] 사과(또는 배즙) 1/2컵| 간장 4큰술| 양파즙 2큰술| 설탕 2큰술| 다진마늘 2큰술| 후춧가루 약간| 통깨 1큰술| 참기름 1큰술,"4인분",아무나,"2시간이내"
6871833,돼지고기짜글이찌개,150666,"23","4958",끓이기,일상,찌개,돼지고기,[재료] 돼지고기앞다리살 400g| 양파 1/2개| 호박 1/3개| 감자 1개| 쌀뜨물 3컵 [양념] 고추장 2큰술| 고춧가루 1큰술| 다진마늘 1큰술| 맛술 1큰술| 설탕 1큰술| 간장 1큰술,"4인분",초급,"30분이내"
6871849,과카몰리,73175,"10","255",기타,초스피드,양념/소스/잼,과일류,[재료] 아보카도 큰것 1/2개| 방울토마토 1개 (일반토마토의 경우 작은거 1개)| 레몬즙 1스푼| 설탕 1/2스푼| 소금 1/4스푼| 후추 취향껏,"2인분",아무나,"15분이내"
6871862,안심스테이크,59585,"12","909",굽기,손님접대,양식,소고기,[재료] 소고기 안심 400g| 올리브오일| 소금| 후추| 버터 1조각 [스테이크 소스] 간장 2| 레몬즙 1| 식초 1| 설탕 1| 매실청 2| 다진 마늘 0.5| 올리브유 1| 다진 양파 3| 다진 사과 2| 부순 깨 0.5,"2인분",아무나,"60분이내"
6871865,간장무조림,121816,"26","5748",조림,일상,메인반찬,채소류,[재료] 작은 무 1/2개| (국물용)멸치| 진간장 6스푼| 고춧가루 2스푼| 설탕 2스푼| 참기름 1/2스푼| 마늘다진것 1/2스푼,"4인분",초급,"30분이내"
6871877,김치비빔국수,71458,"78","1320",비빔,일상,면/만두,밀가루,[재료] 김치 1컵| 달걀 2개| 깻잎| 상추| 간장 1큰술| 고추장 1큰술| 설탕 1큰술| 고춧가루 1/2큰술| 참기름 1/2큰술| 통깨 약간,"2인분",아무나,"30분이내"
6871886,고추장마늘장아찌,56105,"14","410",절임,일상,밑반찬,채소류,[재료] 통마늘 [장아찌간장비율] 간장 1| 식초 1| 물 1| 설탕 1,"4인분",아무나,"2시간이상"
6871892,육개장,447023,"46","11316",끓이기,일상,국/탕,소고기,[재료] 소고기| 고사리| 대파| 숙주| 표고버섯 [양념] 식용유 2큰술| 참기름 4큰술| 고춧가루 3큰술| 다진마늘 1큰술| 국간장 2큰술| 소금 약간,"4인분",초급,"30분이내"
6871896,오이지무침,113931,"17","987",무침,초스피드,밑반찬,채소류,[재료] 오이지 2개| 다지듯 송송 썰어놓은 대파 1줌 [양념] 고춧가루 1/2스푼(어른수저)| 설탕 1/2스푼| 매실액 1스푼| 간마늘 1스푼| 참기름 1스푼| 으깬통깨 1스푼,"3인분",초급,"15분이내"
6871937,멸치국수,56803,"13","942",끓이기,일상,면/만두,밀가루,[재료] 소면 1인분(100원짜리 동전크기의 1묶음)| 달걀 지단 약간| 애호박 볶음 1큰술| 다진 김치 1큰술| 깨 1큰술| 김가루 1큰술| 맛국물 2컵 [맛국물] 멸치 50마리| 양파 껍질째 1/2개| 진간장 10큰술| 소금 1+1/2큰술| 물 20컵,"1인분",초급,"60분이내"
6871939,쉬림프박스,60117,"59","1605",볶음,도시락,밥/죽/떡,해물류,[필수재료] 밥 1공기 [갈릭새우] 새우 1컵| 식용유 3T| 다진마늘 1+1/2T| 버터 1T| 액젓 1/2T| 후추 약간 [칠리새우] 새우 1컵| 식용유 3T| 다진마늘 1T| 설탕 1T| 케찹 2T| 고춧가루 1T| 물 약간| 버터 1T| 간장 약간| 식초 약간| 후추 약간,"2인분",초급,"30분이내"
6871940,단호박보관,109070,"47","350",기타,기타,기타,채소류,[재료] 단호박,"2인분",아무나,"5분이내"
6871949,메추리알장조림,669637,"32","30889",조림,일상,밑반찬,달걀/유제품,[재료] 메추리알 270g [양념] 물 1/2컵| 간장 6큰술| 설탕 2큰술| 올리고당 2큰술| 미림 2큰술,"4인분",아무나,"30분이내"
6871953,스팸감자볶음,414448,"76","35851",볶음,일상,밑반찬,채소류,[재료] 감자(중간사이즈) 2개| 스팸 200g| 양파 1/2개 [양념] 진간장 2T| 물엿 2T| 물 3~4T| 식용유 1T| 참기름 1T,"2인분",아무나,"10분이내"
6871961,감자채전,320240,"36","16783",부침,일상,밑반찬,채소류,[재료] 중간크기 감자 2개| 소금 1/2티스푼| 부침가루 1.5큰술| 후추 약간| 식용유 넉넉하게,"2인분",초급,"10분이내"
6871970,참치동그랑땡,76545,"81","2583",굽기,일상,메인반찬,가공식품류,[필수재료] 참치통조림 150g| 대파 1대| 양파 1/2개| 당근 1/3개| 청양고추 2개| 달걀 2개| 부침가루 4T [양념재료] 다진 마늘 1/2T| 소금 1/3T| 설탕 1/3T| 액젓 1T,"4인분",아무나,"30분이내"
6871972,훈제연어샐러드,69290,"65","710",기타,일상,샐러드,해물류,[필수재료] 훈제연어 1팩| 양상추 1/4개| 어린잎채소 1줌 [소스재료] 마요네즈 2T| 꿀 1T| 다진양파 2T| 후추 약간| 레몬즙 1/2T,"4인분",아무나,"10분이내"
6871973,시금치된장국,78336,"64","667",끓이기,일상,국/탕,채소류,[필수재료] 시금치 1/2단| 대파 10cm 2대| 청양고추 1개| 멸치다시마육수 1L| 생새우살 1/2cup [양념재료] 된장 2T| 다진마늘 1T| 국간장 1T,"4인분",아무나,"30분이내"
6871978,토마토계란볶음,62449,"21","2517",볶음,다이어트,메인반찬,달걀/유제품,[재료] 계란 2개| 토마토 4개| 다진파 약간| 소금 약간| 후춧가루 약간| 설탕(또는 꿀) 1/2큰술,"2인분",아무나,"30분이내"
6871993,오이소박이,121873,"5","236",무침,일상,김치/젓갈/장류,채소류,[재료] 오이 10개| 고춧가루 2번(2/3컵씩)| 설탕 4T| 액젓 2/3컵| 새우젓 3T| 간마늘 2T| 간생강 2/3T| 양파1개| 부추 잘게 썰어 4컵| 당근 2/3개 [오이절이기] 물 2번(2/3컵씩)| 꽃소금 6T [밀가루풀쑤기] 밀가루 1T| 물 2/3컵,"6인분이상",초급,"2시간이내"
6872076,무생채무침,81121,"15","2092",무침,일상,밑반찬,채소류,[재료] 무 1/2토막| 양파 1/2쪽| 대파 약간| 청양고추 3~4개| 다진마늘 1큰술 [양념] 고추가루 3큰술| 식초 1큰술| 설탕 1큰술| 소금 약간| 깨소금 약간,"3인분",초급,"30분이내"
6872120,들깨소스,63342,"2","116",무침,영양식,양념/소스/잼,채소류,[재료] 들깨가루 3밥수저| 매실 2밥수저| 식초 1/2밥수저| 생크림요거트 3밥수저| 샐러드용 엑스트라버진 올리브오일 1밥수저| 소금 약간| 말린 오렌지 적당량| 양상추 적당량| 양파 적당량| 삶은달걀 적당량| 딸기 적당량,"2인분",초급,"10분이내"
