genres,release_date,rating,publisher,metascore,developer,title,userscore,summary
Strategy|Turn-Based|Tactics|,"Jul  9, 2020",None,Silesia Games,53,Silesia Games,Demon's Rise - War for the Deep,tbd,"Enter the depths of the ancient city of Angor and prepare for battle. Form a mercenary party of adventurers, sellswords, rogue sorcerers, and assassins, and enlist with an army of dwarves trying to retake their ancient homeland. Demon's Rise is a turn-based tactical game where players must lead a party of six heroes through the bowels of an underground city. Battles are intense affairs where the proper use of terrain and cover is as important as the choice of spell or attack."
Action|Action Adventure|Shooter|Linear|Shoot-'Em-Up|Top-Down|,"Jan 20, 2022",T,Blowfish Studios,53,Drakkar Dev,Blackwind,tbd,"Blackwind is a hack n slash shooter platformer sci-fi action game that puts you against hordes of enemies and frantic battles in a desperate attempt to stop a planetary invasion. The Raknos hordes are raging the planet Medusa-42, a small human mining colony. When the starship “Pandora” is shot down, James Hawkins finds himself trapped inside a military Battle Frame prototype. He’ll have to discover its powers to survive the alien forces in different planet locations while searching for his father."
Miscellaneous|Board / Card Game|,"Mar 29, 2021",None,Marmalade Game Studio,53,Marmalade Game Studio,The Game of Life 2,tbd,"<span class=""blurb blurb_collapsed"">Customize your peg, hop in your car and race your friends and family through THE GAME OF LIFE 2 game, a contemporary multiplayer sequel to THE GAME OF LIFE board game.<br/> <br/>Pre-order on Nintendo Switch™ now from 15th March - 29th March (08:59 PT) and get an exclusive FREE additional in-game</span>"
Adventure|Visual Novel|,"May 11, 2017",T,Flyhigh Works,53,Flyhigh Works,Dark Witch Music Episode: Rudymical,5.9,"<span class=""blurb blurb_collapsed"">Jump and Slash to the rhythm! Dark Witch Music: Rudymical now on Nintendo Switch!<br/> <br/>The popular spin off from Dark Witch Story is now available on Nintendo Switch!

Play the 1 player STORY MODE and defeat all the bosses!

Play the VS MODE to battle 1vs1 against your friends, and the</span>"
Action Adventure|General|,"Mar 23, 2018",T,7Levels,53,7Levels,Castle of Heart,7.0,"Hey there. So I bought this game when it was $1.99 which I'm assuming was a sale price. And this game in my honest opinion has already given me a solid 3 hours of fun. I have only beaten the first four levels, (the levels are long) and I am excited to continue playing it, I am very impressed . Other then just a couple things Its almost  a perfect platforming game. The mechanics are smooth and it t has tons of good ideas built into it. I am i would honestly be willing to pay the full 10$ for this game its definitely worth a 10 rating at 2$ without any doubt. Next time its on sale I highly recommend just buying it, you won't regret it"
Simulation|Virtual|Pet|,"May 28, 2019",E,Sold Out,53,Imagineer,Little Friends: Dogs & Cats,4.8,"It's time to meet your new Little Friends! These adorable puppies and kittens can't wait to meet you in the first pet training game for Nintendo Switch. Play with up to 3 pets at once and own up to 12. Get to know their personalities and feed them their favorite food. Play with your pet using their favorite new toy or take them out for walks and compete in the flying disc tournament, using the Joy-Con™ motion controls or Nintendo Switch touch screen. Each pet has its own personality, behavior and looks. Look after your pet to develop a bond and grow your friendship. Dress them up in more than 600 stylish accessories to make them look their best. Care for your new furry friend to develop a long-lasting friendship."
Puzzle|General|,"Jul  6, 2017",T,Nintendo,53,"OVER FENCE CO.,LTD.",Flip Wars,6.3,"Leap into the air and Hip Drop onto the board below to flip adjacent panels around where you land and change them to your colour. Knock Out your opponent by flipping any panels they’re standing on, and watch them fly off the board – be careful where you stand, though, as they can send you flying, too! Prevent your rivals from reclaiming nearby panels and catch them off guard by adjusting your landing zone in mid-air, or by performing a Hip Drop feint. [Nintendo]"
Role-Playing|Action RPG|,"Mar 15, 2018",T,althi Inc.,53,Alti,WorldNeverland: Elnea Kingdom,7.4,"The kingdom simulation game where you immigrate to an imaginary kingdom and enjoy your free life. This is the latest game of the World Never Land (Nickname is WorNeva) series. This is the imaginary kingdom that lives in the computer. You can walk wherever you wish to go. Beautiful woods,"
Action|Arcade|,"May  3, 2018",E,Forever Entertainment,53,Forever Entertainment,Timberman VS,6.0,"<span class=""blurb blurb_collapsed"">Bigger. Better. MORE CHOPS!<br/><br/>The game loved by millions of players all around the world - Timberman, now has a brand new, polished axe! Are you world-class wood chopper?

Enter the digital forest and find out! Discover the Nintendo Switch version of this classic, casual game - slice and dice</span>"
Action|Arcade|,"Nov 15, 2018",None,Radial Games Corp.,53,Radial Games Corp.,ROCKETSROCKETSROCKETS,tbd,"<span class=""blurb blurb_collapsed"">Review Summary<br/>ROCKETSROCKETSROCKETS is a fun space shooter that suffers from a lack of content. The singleplayer can get boring over time,</span>"
Racing|Arcade|Automobile|,"Nov 26, 2019",E,THQ Nordic,53,Rainbow Studios,Monster Jam Steel Titans,tbd,None
Action Adventure|Survival|,"May 21, 2020",T,Scott Games,53,"Steel Wool Games, Inc.",Five Nights at Freddy's: Help Wanted,6.8,Five Nights at Freddy's VR: Help Wanted is a virtual reality experience for the HTC Vive and Oculus Rift. FNaF VR: HW is a collection of classic and original mini-games set in the Five Nights universe. Survive terrifying encounters with your favorite killer animatronics in a collection of
Action|Platformer|2D|,"Dec 10, 2020",None,Silesia Games,53,Silesia Games,OctaFight,tbd,"Fun game! I played it with my family and we had a blast, learned the game in under 10 minutes, and it's easy to explain and teach. Simple controls and overpixelated art make it super fun to play, the more people the better, but even playing with just two people is really fun."
Miscellaneous|Board / Card Game|,"Oct 31, 2017",E,Ubisoft,53,Asobo Studio,Monopoly for Nintendo Switch,5.5,"Its MONOPOLY for a new era! Play the classic game and watch the board come to life! A full 3D city at the center of the board lives and evolves as you play. You own a miniature world that will interact with your progression throughout the game and celebrate your achievements. Play the way you want - you can change the rules and adapt them to your playing style. Take and display photos at key moments for an amplified social gaming experience. Monopoly PLUS raises the classic game to a new level! The downloadable version of this game supports English, French, Italian, German, Spanish, Danish, Dutch, Finnish, Norwegian, Polish, Portuguese, Russian, Swedish, Turkish, Korean, Chinese."
Strategy|Turn-Based|General|Tactics|,"Mar 28, 2017",E10+,GameTrust,53,"Frozenbyte, Inc.",Has-Been Heroes,7.2,"<span class=""blurb blurb_collapsed"">Embark on an epic journey with the Has-Been Heroes, a group of legendary champions once celebrated throughout the kingdom - almost forgotten until the King has one more quest, the most epic of them all:<br/> <br/>TO TAKE THE TWIN PRINCESSES TO SCHOOL!

Key features:

* Meet the epic band of</span>"
Miscellaneous|Party / Minigame|,"Mar  1, 2018",E10+,Invincible Cat,53,Invincible Cat,Guilt Battle Arena,tbd,None
Action|Platformer|3D|,"Sep 20, 2018",E,Fusty Game,53,Fusty Game,Hover,6.4,"<span class=""blurb blurb_collapsed"">Hover is a fast-paced single and multiplayer Parkour game in a futuristic 3D Open World.<br/>The game takes place in ECP17, a high-tech city also called Hover City by its inhabitants and located on a distant planet. The Great Admin cut the communication with the Galactic Union and established a</span>"
Role-Playing|General|Japanese-Style|,"Oct 19, 2017",E10+,Kemco,53,Kemco,Revenant Saga,6.4,"Experience stunning 3D battles and find the truth beyond revenge! After being turned into an immortal being known as a 'Revenant' and learning of the existence of a demon within him, Albert sets out on a journey to make the person who did this to him pay with their very life. However, as he runs into others along the way dealing with their own figurative demons, what is the answer he finds...?"
Action Adventure|General|,"Jul  4, 2019",T,Netflix,53,BonusXP,Stranger Things 3: The Game,6.5,"Developed and published by BonusXP in collaboration with Netflix, Stranger Things 3: The Game is the official companion game to Season 3 of the hit original series. This adventure game blends a distinctively retro 16-bit art style with modern gameplay mechanics to deliver nostalgic fun with"
Simulation|Virtual|Virtual Life|,"Nov 20, 2018",E,Raiser Games,53,U-Play Online,Youtubers Life: OMG Edition,5.9,"Become the world’s greatest content creator. Create your character focusing on gaming, music, or cooking, and start broadcasting your life from your parent’s house, then continue to increase your popularity through social networks and manage fans, friends, and family to move on up in the world and become the biggest start in the world."
Simulation|Flight|Civilian|,"Sep 27, 2018",E,Wild River,53,Z-Software,Pilot Sports,tbd,At PILOT SPORTS everything revolves around a wide variety of aircraft that control and feel differently. Each of them offers a new challenge. You have to fly challenging courses at exotic locations and achieve the best time or score. Various disciplines and a variety of game elements and
Adventure|Point-and-Click|,"Nov  7, 2020",T,Playism,53,SOMI,Replica,tbd,"Replica is an interactive novel game played through a cellphone and social media. You are given a cellphone of an unknown owner. You must look for evidence of terrorism by hacking into the cellphone owner's account, under governmental coercion. Then inspecting the cellphone usage history and"
Action|Action Adventure|Platformer|Open-World|Metroidvania|,"Apr 14, 2021",E,EastAsiaSoft,53,Spoonbox Studio,Kingdom of Arcadia,tbd,"Sam is just a normal kid who likes video games. Likewise, his father has a passion for old games, but when Sam tries out his dad’s arcade machine, he’s suddenly pulled inside, where he finds himself starring in his own pixelated adventure. But can he get back home? Help Sam remove the spell cast on Arcadia and return safely before it’s too late. Kingdom of Arcadia is a metroidvania spanning five levels, each with multiple missions to undertake. Sam will encounter a wide variety of enemies, huge bosses and other obstacles in pixelated retro presentation. Fortunately, he can level up and buy new gear from shops to aid in the daunting adventure that lies ahead."
Role-Playing|Massively Multiplayer|,"Feb  4, 2021",None,MY.GAMES,52,Allods Team,Skyforge,4.2,"The developers really should not have released this game yet. It has all the promise of being a great 'witcher, /elders scrolls or breath of the wild. On the other platforms, it was even better. But not for Switch. To me, it seems like a lazy port riddled with technical issues. I had stuttering, bad image rendering, freezing in the middle of battles and even an issue when my camera would spin and drag me back to my starting point. And what is with the 30 sec load times pretty much every step of the way. The visuals and story seem like they could be great, but after arguing and fighting with my console, I'm ready to delete the game altogether and give it a miss.  Ports can always be a challenge for developers, but you know the switch as a number or really good ports that prove that it can be done. So shame on you developers."
Role-Playing|Action RPG|,"Feb 25, 2021",M,Merge Games,52,Cradle Games,Hellpoint,tbd,I have to say this is a pretty good game despite what the other reviewers say.  Yea their is not much of a story and i am not a souls fan at all.  But i cant put this down.  I really like the feeling of being in space and duking it out.  Yes the PS4 might look a little better but i think that graphics are fine and its portable.  Give this game a shot.
Adventure|3D|First-Person|,"Aug 12, 2020",T,Ovid Works,52,Ovid Works,Metamorphosis,tbd,"<span class=""blurb blurb_collapsed"">A first-person adventure game whose mysterious story was inspired by the imagination of Franz Kafka.<br/> <br/>You wake up one morning to find that you are rather inconveniently transforming into a tiny bug, while your friend Joseph is being arrested for reasons unknown.

To save him and to find</span>"
Adventure|Action Adventure|General|,"Apr 21, 2022",T,Graffiti Games Desenvolvimento de Jogos Ltda,52,Monolith of Minds,Lila's Sky Ark,tbd,"Lila’s psychedelic world is in grave danger. Help her and her eccentric friends stop the Conductor’s minions from destroying all things musical and magical in this meditative action-adventure game. Explore this dark yet groovy world as you unravel the poetic mystery that is Lila’s story. Discover secrets, solve puzzles, and battle bizarre beasts and punishing bosses as you attempt to unite the Spirits and save the mysterious Sky Island from ruin. Along the way, hunt down alchemy recipes to unlock new weapons. Battle enemies with rocks, Titan Eyes, cluster bombs, and anything else you can throw at them as you wander this music-inspired pixel dreamscape during Lila’s strange yet beautiful journey."
Adventure|Point-and-Click|,"Jun 13, 2019",M,Assemble Entertainment,52,CrazyBunch,Leisure Suit Larry: Wet Dreams Don't Dry,5.4,"Difficile de noter un jeu comme Leisure Suit Larry, Wet Dreams don’t Dry. Le jeu n’est pas mauvais en soit, malgré que ses mécaniques de point"
Action|Platformer|3D|,"Nov 21, 2017",E,Merge Games,52,Prospect Games,Unbox: Newbie's Adventure,6.1,"Cute game, nicely displays on the switch, i really like the graphic it looks like a well made 3d platform game. Its good to explore as well as play the story. I also let my friend kids have a go and they really enjoyed it. Also a low price which is great as many switch games are very expensive, there needs to be more cheaper ones."
Action|Shooter|Shoot-'Em-Up|Top-Down|,"Feb 21, 2020",E10+,Exordium Games,52,Exordium Games,Last Encounter,tbd,None
Action|Platformer|2D|,"Sep  3, 2018",E10+,Terahard,52,Terahard,Claws of Furry,tbd,"<span class=""blurb blurb_collapsed"">Your Ninja Master was abducted before your eyes! Pursue his tracks through the territories of your sworn enemies and free him from captivity! Be vigilant though; not everything is what it seems...<br/><br/>Story in Claws of Furry follows the old-school arcade path, meaning that less is more. The</span>"
Action|Platformer|3D|,"Nov 28, 2019",E10+,Microids,52,Anuman Interactive,Asterix & Obelix XXL 3: The Crystal Menhir,tbd,"The year is 50 B.C. Gaul is entirely occupied by the Romans. Well, not entirely... One small village of indomitable Gauls still holds out against the invaders. And life is not easy for the Roman legionaries who garrison the fortified camps of Totorum, Aquarium, Laudanum and Compendium. Peace"
Strategy|Real-Time|General|,"Dec  4, 2020",T,Kalypso,52,Yippee Entertainment LTD,Commandos 2 HD Remaster,tbd,"Relive the real-time tactics masterpiece that defined the genre like no other: Originally developed by the legendary Pyro Studios, Commandos 2 - HD Remaster is a true homage to one of gaming's most celebrated masterpieces. Experience Commandos 2 Men of Courage like never before in high"
Adventure|General|,"Mar 30, 2021",None,Wales Interactive,52,Ghost Dog Films,I Saw Black Clouds,tbd,None
Role-Playing|Action Adventure|Action RPG|Open-World|,"Dec 15, 2021",T,Chorus Worldwide,52,maJAJa,Dungeon Munchies,tbd,"<span class=""blurb blurb_collapsed"">Hunt down monsters to cook and eat them!<br/> <br/>You’ve been revived in a massive underground complex and you must leave this bizarre facility. Aided by the undead Necro-Chef Simmer, you must stay safe, get fed, find a way to get out.

Dungeon Munchies is a side-scrolling action RPG with a</span>"
Action Adventure|Sandbox|,"Sep  5, 2017",E10+,Warner Bros. Interactive Entertainment,59,TT Games,LEGO Worlds,7.0,"LEGO Worlds is an open environment of procedurally-generated Worlds made entirely of LEGO bricks which you can freely manipulate and dynamically populate with LEGO models. Create anything you can imagine one brick at a time, or use large-scale landscaping tools to create vast mountain ranges and dot your world with tropical islands. Drop in prefabricated structures to build and customize any world to your liking. Explore using helicopters, dragons, motorbikes or even gorillas and unlock treasures that enhance your gameplay. Watch your creations come to life through characters and creatures that interact with you and each other in unexpected ways. In LEGO Worlds, anything is possible!"
Racing|Arcade|Automobile|,"Nov  6, 2018",E10+,Wired Productions,59,Caged Element Inc.,GRIP: Combat Racing,5.9,"GRIP is a high octane, hardcore combat racer, packing ferocious speed and armed to the teeth with heavy weapons. Harnessing gravity defying physics alongside a bristling arsenal of outlandish weapons, GRIP delivers the fastest, most competitive racing experience ever. Scale walls, ceilings and anything else you can get your tyres on to... as you master tantalising tracks, tricks and perform mind-blowing stunts to race your way across the cosmos. "
Action|Shooter|Shoot-'Em-Up|Top-Down|,"May 30, 2017",E10+,Panic Button,59,Panic Button,Astro Duel Deluxe,6.6,"<span class=""blurb blurb_collapsed"">Battle your friends in space! (Then run over their pilots!)<br/> <br/>Astro Duel Deluxe includes new features and gameplay created for the Nintendo Switch!

ASTRO DUEL DELUXE is a fun, frenetic same-screen local multiplayer party game for 1 to 6 players!

Game rounds are quick and defeat is</span>"
Action|Platformer|2D|,"Mar 30, 2018",E10+,Ratalaika Games,59,Noodlecake Studios,Devious Dungeon,6.4,"I'm rating this game a 10 when compared to other indie titles of the same price and genre. It's a procedural generating dungeons action plaform RPG at it's purest and simplest form. It's only an $8 game and will take you back to when games were a simple fun romp with entertaining gameplay. Anyone that compares this to AAA games is naive at best. Love indie games, getting the sequel after this."
Action|Beat-'Em-Up|2D|,"Nov 30, 2018",T,Mega Cat Studios,59,Mega Cat Studios,Coffee Crisis,4.3,"Coffee Crisis is an arcade-style beat 'em up that pays homage to the 90's era of classic arcade and 16-bit brawlers. The Smurglian race has come to Earth and they're not leaving until they steal our most prized commodities: our metal music, the best coffee, and all of the WiFi. Get in the shoes of the only baristas on Earth with enough heavy metal in their veins to fend off this alien assault. "
Miscellaneous|Application|,"Sep  8, 2020",E10+,NIS America,59,Kadokawa,RPG Maker MV,7.6,"An epic journey begins... with YOU! Become a master game developer with RPG Maker MV. With an arsenal of tools at your fingertips, create elaborate, exciting, and memorable video games straight from your console! Then, share your adventures online with other players, who can enjoy your epic"
Adventure|General|,"Aug 29, 2019",T,Headup Games,59,Devespresso Games,Vambrace: Cold Soul,5.8,"The King of Shades has cursed the great city of Icenaire. Now cast under a permanent blight of frost fall, its former residents have returned from the dead as mad Wraiths. Survivors take refuge deep underground where they lead a desperate campaign against this unearthly power. Woefully"
Puzzle|Matching|,"May 24, 2019",E,QubicGames,59,Digital Melody,Hungry Baby: Party Treats,tbd,"Hungry Baby: Party Treats is a funny and innovative local multiplayer game that can be played by up to 4 players. As we all know, a hungry baby is an angry baby. So hurry up, after all, you are a delicious treat and your fate is to end up in a child’s tummy. You’ll encounter murderous obstacles and traps on your way, but every fail and act of greediness gets you closer to victory."
Role-Playing|Action RPG|,"Jan 30, 2020",E,Fabraz,59,Umaiki Games,Skellboy,5.8,"Life was peaceful in the Cubold Kingdom until the king's evil court magician got dumped by the princess. With his heart broken and his rage fueled, he called upon the evil spirits to resurrect the dead and the kingdom's long forgotten monstrosities. What he doesn't realize in his fury is that he accidentally summoned an ancient hero as well... Skippy! Travel across the beautifully rendered kingdom of Cubold and take full advantage of your resurrected, skeletal body! Swap out body parts to acquire new abilities during your adventure or pick up a new weapon to vanquish the evil magician's lackeys. "
Adventure|General|,"Jun 16, 2020",E10+,Chibig,59,Chibig,Summer in Mara,7.3,"<span class=""blurb blurb_collapsed"">'Summer in Mara' is a summer adventure with easy-RPG elements and farming, crafting, and exploring mechanics set in a tropical archipelago.<br/><br/>'Summer in Mara' is a single player experience in a calm, relaxing environment, with a handmade look and a interesting narrative. You will be Koa, a</span>"
Action|Shooter|Shoot-'Em-Up|Top-Down|,"Apr 15, 2021",E10+,Freedom LLC,59,Freedom LLC,Godstrike,tbd,"Centuries after a divine power divided itself between seven mysterious masks, chaos reigns. Now inhabiting vessels called Heralds, these seven entities spend eternity fighting each other as the world decays around them. That is, all but one. Talaal, the forgotten seventh mask, and its new Herald Yissia stand alone. Only together can they stop their siblings’ apocalyptic war. Don the mask of Talaal and duel against devilish monstrosities in multi-stage boss battles with breakneck speed. Go in guns blazing, weaving through oncoming fire, and unleashing a torrent of heavenly abilities to overcome adversaries as quickly as possible. Time is of the essence, because in Godstrike as the seconds count down, so too does our hero’s health bar. Time is both life and a currency. Talaal and Yissia lose valuable seconds needed to complete their mission for every hit they take. So the pair must make calculated moves before each showdown, shuffling between an ever-expanding stockpile of skills to help defend against their foes’ strengths while taking advantage of weaknesses."
Adventure|General|Visual Novel|,"Apr 18, 2019",M,PQube,59,RED Entertainment,Our World Is Ended.,7.2,"<span class=""blurb blurb_collapsed"">A world between reality and fiction<br/> <br/>Explore a faithful recreation of Asakusa, one of Tokyo’s most iconic districts as elements from the game worlds will slowly manifest themselves and threaten to destroy the entire district itself..

Splendid Artwork and Outstanding Visuals

Enjoy</span>"
Adventure|3D|Third-Person|,"May  7, 2020",E,Merge Games,59,Infuse Studio,Spirit of the North,7.3,Me encantó el ambiente nordico que quisieron trasmitir los desarrolladores y encanta que el protagonista sea un zorro
Action Adventure|General|Survival|,"Apr  7, 2020",T,NIS America,59,Irem,Disaster Report 4: Summer Memories,6.9,"It's a legitimately bad game. Saying it was rushed or even finished would be an overstatement. Having said that, I really enjoyed it and"
Role-Playing|Action RPG|,"Jun  7, 2019",T,Fat Dog Games,59,Frozen District,Warlocks 2: God Slayers,5.9,"<span class=""blurb blurb_collapsed"">Warlocks 2: God Slayers is a humorous action RPG game with online and local co-op up to 4 players. Challenge the vile gods and dethrone them in this action-packed hack n' slash experience with wizards and meteor showers.<br/><br/>God Slayers is a brand new story, where our titled Warlocks now need</span>"
Action|Racing|General|Arcade|Automobile|,"Jan  6, 2020",E,Applimazing,59,Applimazing,Ultimate Racing 2D,tbd,"<span class=""blurb blurb_collapsed"">Ultimate Racing 2D is the ultimate top-down racing game, with 35 racing classes, over 45 tracks, career mode, championship mode and local multiplayer.<br/><br/>Make your way from Karts to Formula Racing in the extensive career mode, play local multiplayer with up to 8 players or create your own</span>"
Role-Playing|Action RPG|,"Aug 27, 2021",E,Naps Team,59,Naps Team,Baldo: The Guardian Owls,5.4,"<span class=""blurb blurb_collapsed"">A profecy came true, a pure heart child is born . The no heart creature sealed in the underworld by the wise owls is about to rise again.<br/> <br/>A journey into a magical land full of mysteries to discover.

Baldo is an action adventure rpg, full of puzzles and intricate dungeons to solve.</span>"
Adventure|Text|,"May 10, 2018",T,Digerati Distribution,59,[bracket]games,Three Fourths Home: Extended Edition,6.2,"In her mid-20's, Kelly has moved back into her parents' house. Back to the flat expanse of Nebraska, that seemingly endless sea of rustling cornstalks peppered by rusty silos and rustier towns. A typically intense Midwestern storm is approaching while Kelly is out; she needs to get home."
Action|Shooter|Shoot-'Em-Up|Top-Down|,"Mar  5, 2019",M,HypeTrain Digital,59,Ink Stains Games,12 is Better Than 6,7.4,"<span class=""blurb blurb_collapsed""> It is 1873. An escaped slave is slowly walking through the desert, making his way from Mexico to Texas. He keeps a revolver close and is wearing the sombrero stolen from a dead man.<br/> <br/>Deadly gunfights:

You’ll need to cock the revolver with one trigger before being able to shoot by</span>"
Racing|Simulation|Automobile|,"Jun 28, 2018",E,Milestone S.r.l,59,Milestone S.r.l,MotoGP 18,4.6,"Pursue your career as a professional rider making your way from the Red Bull MotoGP Rookies Cup up to the Premier class of the MotoGP. Race with all the riders of the MotoGP on 19 official tracks, including the new Buriram International Circuit in Thailand and enjoy an even more immersive experience thanks to new features. Feel like a professional rider, decide how to change your bike, learn how to manage tire wear, use the MotoGP ID to monitor your progress and challenge your friends with the local multiplayer. [Nintendo]"
Racing|Arcade|Automobile|,"Jun 13, 2017",E10+,Warner Bros. Interactive Entertainment,59,Avalanche Software,Disney/Pixar Cars 3: Driven to Win,5.3,"Speed into the world of Cars as you determine your path to racing mastery in Cars 3: Driven to Win, the game inspired by the Disney Pixar film. Play with over 20 customizable characters including Lightning McQueen, Jackson Storm, Cruz Ramirez and the next generation of racers in over 20 tracks set in iconic locations from the film such as Radiator Springs. Train and advance your abilities in 6 game modes and challenge your family and friends in the Battle Race to become the Ultimate Champion. On the road to becoming a Hall of Fame Driver, training and skill will give you an edge in a race that anyone can win."
Miscellaneous|Edutainment|,"Nov  2, 2018",None,Two Tribes,59,Two Tribes,Swap This!,tbd,"SWAP IT LIKE THIS! Sure, there are other swap games out there. But how many let you save crazy-cute piranha-like creatures stuck in ice blocks with this much speed and intensity? There’s only one – and THIS IS IT! Created by Two Tribes with a freakishly fast match-game mechanic, jump into 3"
Adventure|3D|First-Person|,"Jun 12, 2021",E,Whitethorn Digital,59,"Banana Bird Studios, LLC",Beasts of Maravilla Island,tbd,"<span class=""blurb blurb_collapsed"">Beasts of Maravilla Island is a 3D adventure game where you take on the role of a young wildlife photographer who traverses Maravilla Island's magical ecosystems to discover extraordinary creatures, learn their behaviors, and, most importantly, photograph their majesty!<br/> <br/>The protective</span>"
Racing|Arcade|Other|,"Nov 24, 2017",E,Bigben Interactive,58,Zordix,Aqua Moto Racing Utopia,5.9,"Experience the thrill of high-powered watercraft and break-neck stunts in a utopian world. Race through heaving oceans along sandy beaches in the Tropics, Greece and Africa. Perform insane stunts and go around the buoys closely to charge your turbo and get the edge against your opponents. Earn cash by participating in races and spend it on better jet-skiis. Unlock new Championships and Achievements on your quest for Legendary Status. Compete against your friends in local and online multiplayer mode multiplayer mode."
Miscellaneous|Board / Card Game|,"Apr 11, 2020",T,Choice Provisions,58,Choice Provisions,Tharsis,tbd,"<span class=""blurb blurb_collapsed"">A mysterious signal originating from the Tharsis region of Mars set us on a frantic mission. Who sent it? And why? Impossible questions, but in them lie the key to humanitys survival.<br/> <br/>Now, millions of miles away from home, a micrometeoroid storm has left us with a severely damaged ship,</span>"
Puzzle|General|,"May 28, 2021",None,Thalamus Digital Publishing Ltd.,58,Thalamus Digital Publishing Ltd.,LOVE - A Puzzle Box Filled with Stories,tbd,"LOVE is a puzzle game about finding the things we’ve lost in ourselves and the people who help us find them. Through interactions in both the past and present, get to know the people that live in your apartment building and the moments that define their lives - and then change them. LOVE is"
Adventure|General|,"Apr 17, 2019",T,Headup Games,58,Merge Games,Truberbrook,5.6,"Trüberbrook is a mystery-sci-fi adventure game. Enjoy an adventurous vacation to a 1960's parallel universe. A Sci-Fi-Mystery Adventure Game with handmade scenery. Imagine yourself on a vacation to Europe in the late sixties. Now, picture yourself as a young American scientist; Hans Tannhauser. While you're at it, think of Trüberbrook, a remote village in rural Germany. Because, that's where you end up after hitting the continent. But who cares, you won the trip in a lottery! Or at least, that’s how it seems. But don't fear, instead of getting some rest, you could find yourself having to save the world … "
Action Adventure|General|,"May 14, 2020",T,Oddworld Inhabitants,58,Just Add Water,Oddworld: Munch's Oddysee HD,7.3,"Munch, the Gabbit with ""odditude,"" and his sidekick Abe lead an off-beat revolution to save the world. With their sacred land in jeopardy of being destroyed by the greedy Glukkons, Munch and Abe team up to teach those rascals a lesson by using their chanting prowess to control the enemy, arming themselves with wacky weapons, and acquiring power-ups for extra boosts. You can switch between Munch and Abe at anytime to utilize each character's unique abilities and access certain areas."
Action|Fighting|2D|,"Mar  9, 2017",T,Hamster,58,ADK,ACA NeoGeo: World Heroes Perfect,6.2,"This is the fourth installment in the World Heroes fighting game series, released in 1995. In this game, 16 figures from across history fight for the title of the world's strongest. In previous installments, the amount of time you held a button down determined the strength or weakness of an attack, but that system has been removed in this game. In addition to a more orthodox fighting-game approach that enables weak, middle and strong attacks using different buttons, this game includes new elements such as the Hero Gauge, Extra Attacks and Guard Breaker Attacks, adding an exciting new layer of strategy."
Action|Shooter|First-Person|Arcade|,"Aug 17, 2018",E10+,Krafted Games,58,Krafted Games,Polygod,tbd,"Incredibly unique, fast paced, difficult FPS with MP, COOP and split screen. The game play is reminiscent of old classics such as Binding of Isaac, Quake and Doom, and yet it's a completely new experience.  Crazy combo power-ups, wicked audio and brilliant graphic design make this new rogue like completely compelling!"
Action|Shooter|Shoot-'Em-Up|Top-Down|,"Dec  6, 2019",E10+,QubicGames,58,QubicGames,Space Pioneer,tbd,"Discover new planets, chart incredible worlds and reveal ancient secrets. Explore strange new worlds with your trusty robot sidekick. Make your way across fantastical planets from the icy tundra to the lush jungles brimming with flora and fauna. The endless universe has countless hostile galaxies to conquer. Combined with the dynamic objectives system, the gameplay is truly infinite in Space Pioneer. Recover stolen disks, defend probes, repair crashed craft and complete missions to earn loot and unlock awesome gear and skills. Every time you play missions have new objectives, enemies and additional challenges."
Action Adventure|Open-World|,"Sep 30, 2021",M,THQ Nordic,58,Gunfire Games,Darksiders III,7.7,"Return to an apocalyptic Earth in Darksiders III, a hack-n-slash Action Adventure where players assume the role of FURY in her quest to hunt down and dispose of the Seven Deadly Sins. The most unpredictable and enigmatic of the Four Horsemen, FURY must succeed where many have failed to bring"
Action|Shooter|Shoot-'Em-Up|Top-Down|,"May 25, 2018",E,MixedBag,58,MixedBag,ATOMINE,tbd,"<span class=""blurb blurb_collapsed"">Atomine is a twin stick procedural shooter rogue-lite set in a virtual world with minimalist design, where the player recounts on the screen the real events of STUXNET, the first weapon ever created in the form of computer virus.<br/><br/>In every run the player has to clear the level area from all</span>"
Action|Platformer|2D|,"Apr 15, 2021",None,Polygoat,58,Polygoat,Stitchy in Tooki Trouble,tbd,"Run, jump, slide, slam and glide to find your stolen corn in this side scrolling platformer. Save your corn and defeat troublesome thieving Tooki! As Stitchy, a dedicated scarecrow, you are on a mission to recover every stolen piece of corn and reclaim your fields from the evil wooden Tooki."
Role-Playing|Action RPG|,"Mar  1, 2018",T,Arc System Works,58,Arc System Works,Damascus Gear: Operation Tokyo,tbd,None
