genres,release_date,metascore,developer,publisher,userscore,rating,summary,title
Strategy|Real-Time|General|Fantasy|General|,"Aug 14, 2012",59,SuperVillain Studios,SuperVillain Studios,6.6,None,"Hello there, good sir! Or is it madam, perhaps? Well, thats neither here, nor there! Matters of far greater importance are at hand! It would appear that, through the peculiar optical contraption that youre staring into, you have managed to find yourself here! Where is here, you ask? Why, in",Tower Wars
General|Role-Playing|Japanese-Style|,"Feb  8, 2017",59,Dragon Slumber,Dragon Slumber,7.2,None,"Arelite Core is a beautiful RPG mixed with rich gameplay to make this one of the most enjoyable experiences in a while. At first, I was a little skeptical because this was a project from a first-time developer and I think he hit spot on with this masterful game. I think more people should try this game and it deserves to be in your games collection.",Arelite Core
Action|Action Adventure|Platformer|Survival|Metroidvania|,"May 13, 2021",59,Altari Games,DANGEN Entertainment,8.3,None,"<span class=""blurb blurb_collapsed"">as a old gamer ( from atari ) i say<br/>The Excellent game only bad part abou this game is if u dont play it on easy? funcation ( checkpoints )</span>",Lost Ruins
Simulation|Space|Combat|,"Oct 15, 2020",59,Runner Duck,Curve Digital,6.5,None,Initially I gave this game a very harsh review but a recent patch totally reversed my opinion of the game.  It's now extremely fun!   I strongly recommend it.   You can select the hardness you wish through adjusting the difficulty and the game mechanics are flawless. Haven't encountered a bug yet.   Get this!,Space Crew
Role-Playing|Action RPG|,"Nov 27, 2012",59,BioWare,Electronic Arts,6.3,None,"It was good...  I had fun that is why I give it a 8.  I won't comment on the price since for me it seems ok.  It is a nice side story with new enemies.  The story is simple you have to take bacjk Omega and kill everyting  in your way. That is for my 8 out of ten.  Despite this, I was expecting more and I was a little bit frustrated to see that the adjuvant plot was not more relevant.  The other thing I disliked is the F****** ambiguity about the Indocrination theory, in Leviathan you seem to get controlled by the levianthan and you finish the DLC by admitting having a headache, wich is a sign of indoctrination.  In Omega, sweet nothing... I was expecting some clues in either direction.  If the Indoctrination theory is not true then why can they just say so... I am sick of their no comment attitude despite what looks like solid evidence.  God dammit... I don't even care if the true ending is what we saw, I don't like it and if it's that way I want to get over it and wait to see what they' will come up to with ME4.  The reason I am giving an 8 is because I  don't want to pollute the rating (like ME3 deserve 0 lol) because I am pissed of at the ending.  The DLC is good it deserve a 8 or a 7.   WAKE UP BIOWARE",Mass Effect 3: Omega
Role-Playing|General|,"Feb 12, 2021",59,Spacebot Interactive,Spacebot Interactive,tbd,None,None,Dragonborne
Action|Miscellaneous|Shooter|Shooter|Compilation|First-Person|Sci-Fi|Arcade|,"Oct 15, 2012",59,id Software,Bethesda Softworks,6.2,None,"Re-mastered for Xbox 360 and PlayStation 3, this genre defining game and its expansion pack offers greatly enhanced graphics, deeply immersing the player in the demonic world of this terrifying horror masterpiece. Players will also experience a never-before-seen single-player story, 'The Lost Mission,' featuring seven heart-pounding levels that will once again have them on the edge of their seats.",DOOM 3: BFG Edition
Role-Playing|Action RPG|Action RPG|,"Dec 16, 2008",59,Liquid Entertainment,Codemasters,7.5,M,"Rise of the Argonauts immerses gamers in a gladiatorial adventure, set in wondrously imagined vision of ancient Greece. With deep exploration and epic quests, players live a life of brutal combat as they lead a team of iconic warriors - including Jason, Hercules and Atalanta - through a world ruled by mythological gods. [Codemasters]",Rise of the Argonauts
Action Adventure|Adventure|General|Point-and-Click|Linear|,"Oct 27, 2015",59,Telltale Games,Telltale Games,4.4,E10+,"Minecraft: Story Mode is like a playable TV show based on the Minecraft game, where YOU are the star, and your choices and actions decide how the story is told. You assume the role of Jesse, and you and your friends are thrown into an adventure to save the world. While visiting EnderCon, your crew stumbles on something dreadful. Terror is unleashed, and your only hope is to track down the “Order of the Stone”, a fabled group of adventurers who slew the legendary Ender Dragon. But where are they? In a race against time, you will travel across the over-world, through the Nether, to The End, and beyond. [Telltale Games]",Minecraft: Story Mode - Episode 2: Assembly Required
Action|Shooter|Shooter|Scrolling|Scrolling|Shoot-'Em-Up|Vertical|,"Jun 12, 2007",59,Artificial Studios,SouthPeak Games,7.0,T,"Our story begins in a typical house on a Friday night, one seemingly like any other within the quiet, safe streets of Suburbia. Zack is at home on a ""study date"" with Carrie, though he is desperately trying to interest her in more than just his math skills. While Zack is preparing to proclaim his eternal devotion, his friend Andy busts in, pestering Zack to finish the design for a new rocket-powered skateboard. Before Zack can order him and others to leave, some unexpected guests suddenly arrive and these guys are hungry...FOR BRAINS! Zombies break through the front door, and Zack's house is soon swarming with the Undead. The four intrepid teenagers manage to contain their fright, and using all sorts of household weaponry they actually fend off this zombie assault. However now they must contend with a full-scale suburban invasion, and everything from Werewolves to Witches are on the rampage - Oh My! And where has everyone else gone? Together, Zack, Carrie, Andy, and Jennifer resolve to wage a Battle for Suburbia, rescue their missing neighbors, and discover the ultimate source of this monster onslaught. The secrets they'll uncover throughout this adventure will explain the shocking truth behind their little town. [SouthPeak Interactive]",Monster Madness: Battle for Suburbia
Simulation|Ship|Marine|Civilian|,"Aug 21, 2006",59,VSTEP,DreamCatcher Interactive,6.4,E,"Ship Simulator 2006 is a game that puts players at the helm of some of the most varied and detailed ships to be found at sea, where they will need to perform a multitude of tasks, all set within a stunning 3D environment. Players take control of a wide array of ship types, from massive cargo ships to speedboats, yachts, water taxis and even the mighty Titanic. The waters you sail are also as varied as the ships, from the biggest harbours in the world, such as Rotterdam and Hamburg, to the calm aqua marine waters of the Thai Phi Phi Islands. Gamers will experience how challenging it is to steer the Titanic through shallow water, or just how it feels to navigate a cargo tanker or tug boat - including how diverse the controls are. [Lighthouse Interactive]",Ship Simulator 2006
Action|Shooter|Shooter|First-Person|Sci-Fi|Sci-Fi|Arcade|,"May  1, 2007",59,Black Element,Meridian4,6.0,M,"The player is dropped into the maze of rooms, halls, corridors, mining facilities and shafts of an apparently abandoned deep-space asteroid mining base, facing rebellious machinery of assorted robots and automatic systems, which he has to defeat and demolish, using his weapons and wits. Strong story, fast paced shooting action. However, if you cannot shoot, then there is your RECON, hacking device enabling you to remotely control various devices you meet (robots, manipulators, surveillance cameras, security systems, weapons etc.) on your way through the dark halls and corridors of Alpha Prime. If that's not enough, you can drug your mind and sharpen your senses (bullet time) by injecting a small dose of hubbardium. And all the time you will be surrounded by physical world in a very literal sense, because almost everything that moves, moves thanks to advanced real-time physics algorithms. Features 10 levels full of action; 5 non-playable characters to help you; 14 different enemies including Special Forces soldiers, robots and crazy miners; 8 futuristic weapons including pistol, shotgun, machine gun, grenades etc.; Devices to hack - including a variety of robots and manipulators, surveillance cameras, security systems, doors, etc. [IDEA Games]",Alpha Prime
Action Adventure|Horror|Horror|Open-World|,"Oct 29, 2013",59,Access Games,Rising Star Games,7.3,M,"Deadly Premonition is a third-person survival horror action game which puts players in the role of the intuitive FBI Agent Francis York Morgan. In the process of investigating a murder, players will examine a series of interlocking mysteries in a remote rural town and will encounter an array of complex characters pivotal to the unraveling of the storyline's mystery. Suspenseful action sequences will force players to make strategic moves, gliding by enemies in the shadows or engaging them with long-range weapons or hand-to-hand melee combat. From the unparalleled atmosphere, music and mysterious storyline to driving vehicles and exploring the entire town, Deadly Premonition will offer players a unique and haunting interactive gaming experience unlike any other.",Deadly Premonition: The Director's Cut
Action Adventure|Adventure|General|Horror|General|,"Oct 26, 2012",59,Shiver Games,Lace Mamba Global,6.0,None,Lucius is the son of the devil who has to clear the mansion of it’s residents. To do this he must orcastrate “accidents” without anyone suspecting him of any foul play. The player starts as Lucius and must cleverly devise these incidents from simple household items. Every time he succeeds he will gain supernatural powers to help him take full control.,Lucius
Action|Shooter|Shooter|Third-Person|Modern|Modern|Arcade|,"Jul 26, 2012",59,Saber Interactive,Namco Bandai Games,6.8,M,"Assume the role of young father and husband Davis Russell who is thrust into war when his tranquil city is invaded by an unknown enemy. With his daughter unaccounted for and conventional weapons and tactics useless, this typical cop and his partner Leo Delgado step up to heed the call of duty, master the fundamental forces of gravity and save the world.",Inversion
Strategy|General|General|,"Nov  5, 2013",59,Firaxis Games,2K Games,6.7,None,"Take flight over the treacherous Pacific waters where ace pilots redefine historic World War II battles! Skillfully pilot the most iconic American and Japanese fighter planes of the Pacific War while representing the Army or Navy. Upgrade your fighters and promote your leading pilots so they master new skills needed to ambush an enemy VIP, rescue POW pilots or torpedo bomb enemy targets!",Sid Meier's Ace Patrol: Pacific Skies
Role-Playing|Action RPG|,"Jul 27, 2021",59,Ronimo Games,Devolver Digital,tbd,None,None,Blightbound
Role-Playing|General|Massively Multiplayer Online|Massively Multiplayer|Fantasy|,"Oct 24, 2001",59,NCSOFT,NCSOFT,4.5,T,Years of gameplay available in this game....sadly it doesn't exsist anymore in the US except the random few Private Servers.....Would still be,Lineage: The Blood Pledge
Strategy|Management|Business / Tycoon|,"Oct 23, 2019",59,Kraken Unleashed,Klabater,6.5,None,"Ainda esta muito bugado, mas é de longe um dos melhores jogos de gerenciamento que já joguei. Sem contar que tem nudez, que melhora ainda mais. hahaha",Crossroads Inn
Strategy|Real-Time|General|General|Command|,"Mar 19, 2001",59,Continuum,Take-Two Interactive,8.4,T," A great game! The two sides differ in units, have their own unit specials. Decent graphics, wonderful interface and great gameplay. A definite for RTS Lovers.",Outlive
Adventure|3D|First-Person|,"May 16, 2017",59,Pixel Night,Iceberg Interactive,5.7,None,None,Empathy: Path of Whispers
Action Adventure|Modern|General|,"Dec 10, 2002",59,Similis,JoWooD Entertainment AG,tbd,T,"In this Action-Adventure, players find themselves in the role of Kitty Hawk, a helicopter pilot who is shot down on an island in the Pacific. During this vicious attack, her boyfriend, Major Jeffrey, is killed. From this moment on, it is Kitty against the world. Armed only with a pistol, she sets off to find the culprit of her boyfriend`s (and helicopter`s) demise. Desperate for help, she makes contact with headquarters, but as long as enemy air defence is in place over the island, they can not send reinforcements. During the course of her mission, Kitty crosses paths with an unscrupulous colonel, who, she finds out, is responsible for the downing of her helicopter and the death of her boyfriend. Together with his scientists, the Colonel is up to even more evil than meets the eye. [JoWood]",K-Hawk: Survival Instinct
Strategy|Tycoon|Management|Tycoon|Business / Tycoon|,"Aug  1, 2004",59,Enlight Software,Enlight Software,6.8,E,"It's a zoo out there, and you're in charge! Go wild with your imagination running the most exotic, fun and exciting zoo ever. Tend to your animals' health, happiness and nutrition by hiring employees, and adopt new animals as you unlock the numerous features hidden within the game. Attend to visitors by providing facilities for them to eat, drink and buy souvenirs from as they revel in your zoo. Sporting flexible gameplay, choose from either the sandbox mode where you establish the rules of the game, or accept the challenge of graduating from rookie zookeeper to wildlife whiz in the challenging career mode! Keep your animals, employees and visitors happy, keep the money rolling in, and path by path, animal by animal, exhibit by exhibit, build your very own Zoo Empire! [Enlight Software]",Zoo Empire
Strategy|Real-Time|General|General|,"Jan 18, 2001",59,Phantagram,Gathering,7.5,T,"KUF places players in the classic struggle between good and evil to control power, magic, and the land of Bersiah. Players build and control over 70 units and their resources -- gold, iron, and mana -- in order to increase combat strategy options, magical abilities, and the availability of weapons.  [Gathering of Developers]",Kingdom Under Fire: A War of Heroes
Driving|Racing|Simulation|Rally / Offroad|Rally / Offroad|Automobile|,"Apr 25, 2012",59,exDream,indiePub,4.6,T,"Fireburst sends players into a fiery, four-wheeled adrenalin frenzy. Behind the wheel of numerous different racers, drivers get to speed along paved race courses or wicked off-road tracks, showing no respect for their rivals. Thanks to a novel boost system, opponents are kept at a distance in spectacular ways in various single and multiplayer modes. The element of fire prominently features in all special maneuvers. It is possible, for example, to coat your own vehicle in protective flames, or make a rival's car explode with a burst of fire.",Fireburst
Role-Playing|Action RPG|Action RPG|,"Apr  2, 2015",59,AtomicTorch,AtomicTorch,7.1,None,This game delivers on a solid experience. It's plays like a cross between Privateer and Sentinel worlds. Its a sandbox world that allows you,VoidExpanse
Strategy|Tycoon|Management|Tycoon|Business / Tycoon|,"Mar 17, 2002",61,Cat Daddy Games,DreamCatcher Interactive,tbd,E,"Have you ever dreamed of running your own casino? Here's your chance! Start with the bare building and build, design and manage you own casino. Invest in games and decor, hire & fire your employees, manage your clients' every need and sign the best entertainment in town to make YOUR casino",Casino Mogul
Action|Shooter|First-Person|Arcade|,"Nov 10, 2020",61,Gearbox Software,2K Games,4.4,M,None,Borderlands 3: Designer's Cut
Action|Role-Playing|Adventure|Action RPG|Beat-'Em-Up|Action RPG|Beat-'Em-Up|First-Person|Fantasy|3D|,"Apr 30, 2013",61,ACE Team,Atlus,7.4,T,"Building upon the daring visual design and gratifying first-person fisticuffs of the acclaimed original, Zeno Clash II is bigger, bolder, and better in every way.  Zenozoik comes alive like never before, an open world waiting to be explored, one rendered with breathtaking splendor.  As Ghat, players can fully and freely explore every natural and architectural wonder his world has to offer.  In addition to most of the characters, enemies, and items from the first game all of which return with dramatic visual enhancement--Ghat can also expect to encounter awe-inspiring new sights, jaw-dropping new creature designs, and wildly creative new weapons and items.",Zeno Clash II
Action Adventure|General|,"Feb  7, 2017",61,ION LANDS,ION LANDS,7.1,None,I loved playing Phoning Home.  The story really pulls you in.  The environment is beautiful.  Controls are easy to learn and master.  I would love to see a sequel.,Phoning Home
Action|Shooter|Third-Person|Tactical|,"May 14, 2019",61,Rebellion,Rebellion,4.6,M,"<span class=""blurb blurb_collapsed"">You are elite sniper Karl Fairburne, parachuted into Berlin amidst the Germans' final stand. Your mission is to prevent Nazi V2 rocket technology falling into the hands of the Red Army. You must aid key scientists keen to defect to the US, and terminate those who stand in your way.<br/><br/>Stealth</span>",Sniper Elite V2 Remastered
Adventure|3D|Third-Person|,"Mar 24, 2016",61,Gaming Corps AB,Gaming Corps AB,6.9,None,"<span class=""blurb blurb_collapsed"">If you like Telltales games or Life is Strange then you’re going to love this!<br/> <br/>Right now they have just released the first episode so this</span>",The Descendant
Driving|Racing|Arcade|Kart|Other|Kart|,"Sep 18, 2002",61,Terratools,JoWooD Entertainment AG,tbd,E,"Race through the beginnings of Formula 1 Star Michael Schumacher career as a Kart driver. Experience the atmosphere of the world's most famous race tracks and challenge the World in the Online Tournament. MS Kart is the ultimate Kart Race Sim with 3 different classes to choose from, 16 unique tracks with various difficulty levels and an extremely life-like physics model. Choose your racing outfit, the color of your Kart, your driver's name and more. Customize the appearance of the upcoming Number One Kart Driver. [JoWood]",Michael Schumacher Racing World Kart 2002
Simulation|General|Virtual|Career|,"Jan 24, 2014",61,PlayWay,PlayWay,7.0,None,"Have you ever wondered what’s it like to own a mechanic workshop? Now you can check that out! Car Mechanic Simulator gives you an unique chance to see what’s going on behind the scenes of a car workshop. Deal with customers, order and repair car parts to mount them in various car models. A must have for all car maniacs. ",Car Mechanic Simulator 2014
Adventure|3D|Point-and-Click|First-Person|Modern|Modern|,"Dec 29, 2002",61,Frogwares,DreamCatcher Interactive,5.3,E,"Become Sherlock Holmes as you embark on a remarkable adventure. Investigate a mysterious case, full of suspense, of the disappearance of a famous archaeologist and a valuable Egyptian Mummy, in turn-of-the-century England. What begins as a simple case quickly becomes a web of intrigue, robbery, priceless artifacts, and potentially, a murder. Prepare yourself for a great adventure. Elementary... I think not.  [DreamCatcher]",Sherlock Holmes: The Mystery of the Mummy
Action|Beat-'Em-Up|Beat-'Em-Up|2D|,"Mar  4, 2009",61,Deadline Games,Warner Bros. Interactive Entertainment,7.2,M,"[Downloadable Game]  The episodic videogame based on the Watchmen film is a mature action-brawler, which delves into the past of characters from the film and adds new challenges and rivalries for players. The game provides gamers with visceral superhero combat as urban vigilantes Rorschach and Nite Owl. A complex, multi-layered mystery adventure, the film ""Watchmen"" is set in an 1985 America in which costumed superheroes are part of the fabric of everyday society, and the ""Doomsday Clock"" – which charts the USA's tension with the Soviet Union – is permanently set at five minutes to midnight. When one of his former colleagues is murdered, the washed up but no less determined masked vigilante Rorschach sets out to uncover a plot to kill and discredit all past and present superheroes. As he reconnects with his former crime-fighting legion – a ragtag group of retired superheroes, only one of whom has true powers – Rorschach glimpses a wide-ranging and disturbing conspiracy with links to their shared past and catastrophic consequences for the future. Their mission is to watch over humanity . . . but who is watching the Watchmen? [Warner Bros. Interactive]",Watchmen: The End Is Nigh
Strategy|General|General|,"Jun  5, 2001",61,Hothouse Creations,Eidos Interactive,7.6,T,"I really don't know the number of times I have played the game from start until finish over the last decade. Great Game! I strongly recommend it. I wish they were able to make a 3rd but that never happened, and won't happen. All we got was Omerta which is really really  bad",Gangsters 2: Vendetta
Action Adventure|Adventure|General|,"Apr 19, 2022",61,Sky Machine Studios,Blowfish Studios,tbd,None,"You are Arthur Artorias – the sole survivor of a massacre that devastated your family’s legacy and tore them out of the history books. Thought to be dead, you emerge from exile 8 years later, the faceless man kindled by the flame and seeking vengeance.  Embark on an adventure unravelling a",Winter Ember
Adventure|General|General|,"Sep 16, 2001",61,Microids,Microids,tbd,E,"When Fred Reynolds left his fiancée at the airport, he thought that she would be visiting her relatives in New Delhi for a few weeks. He never expected her to be kidnapped by Thugs: Kali worshippers bent on human sacrifices and overthrow of the Indian government. He must now make his way in a foreign land to find her and stop the evil cult before it is too late in this puzzle-driven adventure game.  [Microids]",Road to India: Between Hell and Nirvana
Action|Miscellaneous|General|Platformer|3D|,"Apr  9, 2015",60,Bossa Studios,Bossa Studios,4.8,E10+,"10/10 Would bread again! Absolutely hilarious game! The controls are perfectly confusing, unpredictable, and confusing and pose a wonderful challenge. I would expect nothing less from the geniuses behind surgeon simulator. Buy this game if you want a hilariously fun time!",I Am Bread
Strategy|Real-Time|Historic|General|Historic|,"Jan 28, 2008",60,Lesta Studio,cdv Software,6.4,T,"Pacific Storm: Allies offers completely new experiences for those who played and liked Pacific Storm and the most intense hours of gameplay for those who didn't play the original game. Playing either for the United States, Imperial Japan, or a new playable nation - the UK, you walk through a dramatic sequence of large-scale naval and air military operations. The perfect mix of genres remains on this standalone better than ever. Develop weaponry and technologies to improve your units, move your fleet and deploy it in the battlefield and send them to the combat as a general or become a pilot and control one of the planes or ships directly! Enjoy the exceptional depth and scale of the strategic mode, superior authenticity of the tactical mode and exciting dynamics of the simulator. New units to construct, new historical locations to visit, diplomatic system that allows you to form alliances and a brand new version of the engine that brings better graphics than ever... The improved multiplayer system will push the experience of playing with people over internet or under the same local net to the top of the realism. Every scenario, map, and element has been created based on historical archives. [Buka Entertainment]",Pacific Storm: Allies
Simulation|Marine|Combat|,"Aug 22, 2016",60,Lion's Shade,HeroCraft,4.7,None,"<span class=""blurb blurb_collapsed"">I'll give this a 5/10 to offset the zero reviews below! It's an indie game and one mustn't expect AAA quality from it.<br/> <br/>It has some neat</span>",Tempest: Pirate Action RPG
Simulation|Miscellaneous|Virtual Life|Virtual|Virtual Life|,"May 31, 2005",60,Legacy Interactive,Legacy Interactive,tbd,T,"The ER game combines the best of the popular strategy/role-playing genre with the top-rated television franchise, ER. Players of the game will get to interact with their favorite stars in dramatic and engaging storylines reminiscent of the TV show. In the ER computer game, the player joins the cast of the TV show as a newly hired intern and handles a steady flow of patients with health issues ranging from minor cuts and bruises to serious injuries sustained from accidents and violence. Through it all, the player will have to navigate goals, dodge sticky politics, deal with gut-wrenching ethical dilemmas, and engage in steamy romances. With perseverance, the player will gain prestige among peers and supervisors and ascend the ranks of Chicago's County General Hospital. [Legacy Interactive]",ER (2005)
Miscellaneous|Puzzle|Puzzle|General|General|,"Feb  5, 2007",60,Tri Synergy,Tri Synergy,tbd,T,"Ghost in the Sheet is a point’n’click adventure game based upon a highly original story about a ghost who finds out that the Afterlife is not nearly as fun as it sounds. Having met your new and rather unpleasant astral boss, you embark on an adventure to an abandoned factory with the goal of finding out what happened there. [Tri Synergy]",Ghost in the Sheet
Action Adventure|General|,"Aug  4, 2015",60,tiger & squid,Team17,6.7,None,"Beyond eyes shows you the imaginative world of Rae,  a  10 year-old girl, as she ventures outside her familiar surroundings in search of a fat cat named Nani. Rae isn't like most other girls. She lost her eyesight in an accident with fireworks when she was just a toddler and the experience left her traumatized. Fearing loud noises and public places, she hardly ever leaves her house, preferring to spend her free time in her special garden where everything smells pleasant and all is nice. Some people might feel sorry for Rae, being as isolated as she is, but Rae herself is perfectly content with her life especially after befriending a gorgeous full-figured stray feline she names Nani. When Nani goes missing Rae finally gains the courage to go outside for the first time on an wonderful and life changing journey to find her missing friend. The world outside is frightening and unfamiliar but, with the guidance of the player, Rae learns to overcome her fears and finds beauty and possible new friends outside of her golden cage. ",Beyond Eyes
Adventure|Third-Person|3D|Action Adventure|General|,"Aug 11, 2021",60,MadLightStudio,MadLightStudio,6.8,None,Seed of Life è uno di quei titoli di cui è molto difficile parlare. Certamente non ha alle spalle un team riccamente finanziato (come succede,Seed of Life (2021)
Strategy|Turn-Based|Tactics|,"Mar 19, 2018",60,Solid9 Studio,Fat Dog Games,tbd,None,None,Exorder
Strategy|Real-Time|Sci-Fi|MOBA|MOBA|,"Aug 30, 2012",60,Zeal Game Studios,Paradox Interactive,6.0,None,"The player takes the role of a mercenary commander in the outer rims of the galaxy, fighting for control over the rare spaceship fuel Starvoid. On the battlefield, the player has an arsenal of combat droids, vehicles and ingenious abilities ranging from deployable machine gun turrets and minefields to repair nanoids and orbital rocket strikes. Everything is constantly refilled as the commander instantly is allowed to re-enter the battlefield after being eliminated.",Starvoid
Action|Shooter|Third-Person|Arcade|,"Oct 17, 2017",60,TickTock Games,Rebellion,6.2,T,"A tactical shooter and comic book adaptation, Rogue Trooper is back, remastered in high definition. Experience combat and third person action in this tale of betrayal and revenge at the far reaches of the galaxy. You are the last Genetic Infantryman (GI). Bred for war and betrayed by your superiors at the Quartz Zone Massacre, you stalk the battlefield as a one-man squad, carrying the sentient biochips of three fallen soldiers in your rifle, pack and helmet. Your mission? Fight your way across the chemical-blasted wastes of Nu-Earth -- a planet ravaged by an endless apocalyptic war  in search of the Traitor General and payback.",Rogue Trooper Redux
Role-Playing|Action RPG|Action RPG|,"Jan 30, 2012",60,Lizsoft,Carpe Fulgur,7.6,None,"<span class=""blurb blurb_collapsed"">Elemental Stones: stones imbued with the power of an Elemental Spirit, which grant the wielder of one the ability to control that element via 'magic'.<br/> <br/>In the country of Scotsholm, three centuries have passed since they were first created. Elemental stones are now mass-produced and widely</span>",Fortune Summoners: Secret of the Elemental Stone
Driving|Racing|Simulation|Formula One|Automobile|,"Jun  1, 2002",60,Atari,Atari,6.8,E,"Race over 70 licensed cars including 30 new vehicles from the Le Mans 2000 Race. Blast through 12 real-world tracks. 24 hours of intense action with unique Day-to-Night-to-Day racing: endure real-time weather and surface effects for ultimate realism. Fully immersive environments including new animated drivers and pit crew, advanced AI, new car settings and real-time lighting. Compete in 5 challenging game modes and experience the new Le Mans 2000 Race. [Infogrames]",Le Mans 24 Hours
Miscellaneous|Puzzle|Puzzle|General|Matching|General|,"Mar  2, 2006",60,TERMINAL Studio,Got Game Entertainment,tbd,None,"Embark on a journey around ancient Greece, Babylon, Carthage, Egypt, and Rome in search of one of the greatest mysteries of all time - the lost city of Atlantis. In this classic style matching game with a dazzling new twist, you must discover pieces of ancient artifacts to help you find a way to your destination. Includes 76 exciting levels, thrilling power-up items, and numerous extra features. [Got Game Entertainment]",Atlantis Quest
Action|Shooter|First-Person|Sci-Fi|Arcade|,"Oct 31, 2014",60,Faultline Games,Unknown Worlds Entertainment,7.1,None,"<span class=""blurb blurb_collapsed"">Spawned from Natural Selection 2. Faultline Games turned the much loved title on its head, and made a vary fun FPS-MOBA.<br/> <br/>Gone is the</span>",Natural Selection 2: Combat
Fantasy|Action Adventure|General|Fantasy|Linear|,"Apr 12, 2011",60,Arrowhead Game Studios,Paradox Interactive,6.4,T,"One of the 2 best DLC for a great game, this pack has a wave survival and a hostage rescue mission as well as an awesome robe and 2 of the best weapons in the game, a staff that fires an explosive grenade and a machine gun that tears through enemies with ease. The music for the levels are awesome! they're like pop tunes in a hilarious and yet very serious environment that just adds another layer of awesomeness to this great package. The only downside is the slightly to high price of $5 AUD which is only $1 AUD below the stars are left which includes a complete extra campaign but I got this on special for 50c AUD and I'd happily pay say $3-$4 for this amazing dlc that is just awesome and will keep you in the crazy mood all the way through.",Magicka: Vietnam
Action|Action Adventure|General|Platformer|Fantasy|None|,"Apr  1, 2014",60,Armature Studio,Warner Bros. Interactive Entertainment,6.0,T,"<span class=""blurb blurb_collapsed"">Blackgate Prison Is Under New Management<br/> <br/>Batman: Arkham Origins Blackgate - Deluxe Edition amplifies the 2.5-D game with new maps, enemy encounters, difficulty levels, batsuits, and enhanced visuals. A companion game to Batman: Arkham Origins, players can continue the storyline of the</span>",Batman: Arkham Origins Blackgate - Deluxe Edition
Action|Fighting|3D|,"Jul 29, 2020",60,Nussoft,Playism,7.3,E10+,"This is the new esport! This **** is soo good, yes. This is the new esport! This **** is soo good, yes. This is the new esport! This **** is soo good, yes. This is the new esport! This **** is soo good, yes.",Fight Crab
Strategy|Miscellaneous|Turn-Based|Card Battle|,"Jul 16, 2014",60,Wizards of the Coast,Wizards of the Coast,3.2,T,"Track down bigger game on a bold new adventure with Magic 2015—Duels of the Planeswalkers. Command powerful creatures and wield devastating spells to defeat your opponents in this game of strategy. Hone your skills as you battle your way across the planes of the Multiverse. Beware though, Planeswalker. Your biggest danger lies ahead. Garruk Wildspeaker, the greatest hunter known, has fallen under the curse of the Chain Veil. He now mercilessly stalks his own kind. Find him and stop him ... before he finds you.",Magic: Duels of the Planeswalkers 2015
Adventure|3D|Modern|Third-Person|Modern|,"Nov 21, 2006",60,AWE Games,DreamCatcher Interactive,7.5,T,"Agatha Christie: Murder on the Orient Express beckons travelers to climb aboard a luxury train and become part of a murder mystery where the player and Hercule Poirot must rely on their superior detective skills to find the killer in a heinous murder.  The game remains true to the style and tone of the novel, but a surprising new ending will keep players at the edge of their seats.  Agatha Christie fans will be delighted to know that Actor David Suchet will play the vocal role of Belgian Detective Hercule Poirot – a role Suchet made famous through his well-known portrayals of the character in an array of television appearances over the past 20 years. [DreamCatcher Interactive]",Agatha Christie: Murder on the Orient Express
Miscellaneous|Puzzle|Puzzle|General|Board / Card Game|General|,"Apr 14, 2002",60,Small Rockets,Global Star Software,tbd,E,"This intricate battle of wills is easy to learn; yet the subtle nuances of a masterful strategy take much longer to develop. Your goal in Assimilation is to take over the entire game board with your markers, while your opponent does the same. By cloning or jumping into spaces adjacent to your opponent, you assimilate their markers into your own. [Global Star Software]",Assimilation
Action Adventure|Historic|General|Historic|,"Feb  7, 2004",60,Enlight Software,Enlight Software,7.5,T,"Play as Joan of Arc. Live out the most exciting years in the life of Joan of Arc, the ultimate female warrior, in the ultimate epic battles! As you progress through her campaigns, other great military medieval leaders will join your cause and bring their own unique fighting abilities and characteristics into the fray. Fight Epic Battles. Orchestrate your troops through eight massive maps featuring formidable strongholds, lavishly detailed cities and myriad landscapes, from rolling hills to thick forests and flowing rivers. Experience firsthand the sheer intensity and savage brutality of medieval castle sieges brought to life in amazing lifelike 3D. Engage in Intense Action Fighting. Slash and slay enemies from a thrilling third-person perspective view. Wield the sword to your advantage by executing unique combo attacks with perfect timing to devastate the enemy. Acquire New Weapons. Train yourself to master new fighting techniques to unleash your full fighting capabilities, then acquire an increasingly devastating arsenal of weaponry to overwhelm your foes. [Enlight Software]",Wars and Warriors: Joan of Arc
Action|General|General|Platformer|3D|,"Feb 20, 2001",60,Titus Software,Titus Software,7.7,E,An okay platformer. The characters are not very likeable and the levels are not that interesting either. The game contains 30 levels plus some,KAO the Kangaroo (2000)
Action|Miscellaneous|Parlor|Pinball|Pinball|,"Mar 21, 2001",60,Digital Extremes,Electronic Arts,7.0,E,None,Adventure Pinball: Forgotten Island
Strategy|General|,"Sep 21, 2021",60,Unicube,Team17,2.8,None,"<span class=""blurb blurb_collapsed"">It's been twenty years since the world as we knew it ended. The last of humanity splintered into opposing factions. Will you unite or conquer?<br/><br/>Building upon the original 2015 fan-favourite, Sheltered 2 brings new challenges and deeper strategic gameplay. You are tasked with creating a</span>",Sheltered 2
