genres,metascore,developer,userscore,rating,publisher,title,summary,release_date
Action|Shooter|First-Person|Arcade|,61,Blowfish Studios,5.0,T,Blowfish Studios,Gunscape,There are very few FPS games  with such a user-friendly level editor and hosting system. 90's textures allow for re-creating classics such as,"Mar  1, 2016"
Strategy|Turn-Based|General|Tactics|,61,Gasket Games,tbd,None,Focus Home Interactive,Warhammer Age of Sigmar: Storm Ground,"This could have been an awesome entry in the Warhammer franchise. Unfortunately, a poor main character, shoddy writing and lackluster story make this another victim for the bargain bin. In fact, I would not purchase it at a discount. I did enjoy the turn based battles but not enough to continue playing. Plenty of better Warhammer games out there.","May 27, 2021"
Action Adventure|Survival|,61,IllFonic,6.4,M,Gun Media,Friday the 13th: The Game,"Friday the 13th: The Game is a third-person horror, survival game in which players assume the role of a teen counselor, or for the first time ever, Jason Voorhees. You and six other unlucky souls will do everything possible to escape and survive while the most well-known killer in the world tracks you down and brutally slaughters you. Friday the 13th: The Game will strive to give every single player the tools to survive, escape or even try to take down the man who cannot be killed. Each and every gameplay session will give you an entirely new chance to prove if you have what it takes not only to survive, but to best the most prolific killer in cinema history, a slasher with more kills than any of his rivals. Meanwhile, Jason will be given an array of abilities to track, hunt and kill his prey. Stalk from the shadows, scare your targets and kill them when the time is right in as brutal a fashion as you can imagine. Take control of the legendary killer that is Jason Voorhees and terrify those unfortunate enough to cross your path.","May 26, 2017"
Sports|Individual|Biking|,61,Koch Media,6.9,E,Koch Media,Tour de France 2016,"Embody the greatest cycling champions competing to conquer the yellow jersey along the 21 official stages of a Tour de France 2016, packed with exciting new features! Experience the emotions of a pro-rider by attacking, sprinting, counter-attacking; picking the best trajectories and taking","Jun 16, 2016"
Action|Fighting|3D|,61,CyberConnect2,6.1,T,Bandai Namco Games,Naruto to Boruto: Shinobi Striker,"The Naruto franchise is back with a brand new experience in Naruto to Boruto: Shinobi Striker. This new game lets gamers battle as a team of 4 to compete against other teams online! Graphically, Shinobi Striker is also built from the ground up in a completely new graphic style. Lead your","Aug 31, 2018"
Action|General|Beat-'Em-Up|3D|,61,Mind Candy,2.9,T,Sony Interactive Entertainment,World of Warriors,"World of Warriors is a very simple game, with some good ideas but without any advanced mechanics. The combat system is poor and also the aesthetics of the characters. The porting from mobile platform on console doesn't benefit to the production that remains an experience dedicated to young kids accustomed to mobile games.","Mar 21, 2018"
Action|Shooter|Shoot-'Em-Up|Horizontal|,61,Vertex Pop,5.9,E,Vertex Pop,WE ARE DOOMED,"We Are Doomed is a twin-stick shooter in which you zap polygon baddies with an absurdly overpowered laserbeam. The laserbeam can be charged into a SUPERBEAM, which goes all the way across the screen zapping everything it touches in short order. The game features a unique lo-fi aesthetic, with bold shapes, glitching geometry, and neon colours. [Vertex Pop]","Apr 14, 2015"
Strategy|General|,61,Kalypso,6.6,T,Kalypso,Dungeons 2,"Assume control of the powerful Dungeon Lord and build an array of unique and terrifying dungeons, recruit an army of scary creatures and command 2 new factions. Prepare to defend your Kingdom against those pesky heroes, go above ground to wage war on their human cities and use the Hand of Terror' to take direct control over your minions, issue commands, and even dish out a swift slap to keep them in line.","May 24, 2016"
Action|Shooter|First-Person|Tactical|,61,M2H,tbd,M,Blackmill Games,WWI Tannenberg: Eastern Front,"I've thoroughly enjoyed playing this game, the quietness and calm being broken by the sounds of bullets and artillery, the frantic rush to the sectors, the bloody hand to hand combat used by the cossacks. The game isn't great graphically but at least it isn't bf1 with it's Weapons that barely anyone used and it's terribly inaccurate representation of the first world war, this game just like verdun is tedious, forcing you to run and fight before dying a few seconds later, surviving us almost impossible, you aren't some kind of hero, you're just another number for the casualties","Jul 24, 2020"
Role-Playing|General|,61,White Owls,5.8,T,Playism,The Good Life,"<span class=""blurb blurb_collapsed"">Play as Naomi, a journalist from New York who moves to a backwoods British town called Rainy Woods in order to pay off her massive debt.<br/><br/>The only way for her to escape from debt hell is to take pictures of happenings in the town and report on them. Of course, 'the happiest town in the</span>","Oct 15, 2021"
Action|Beat-'Em-Up|2D|,61,MakinGames,6.0,T,Team17,Raging Justice,raging justice  the fights are brutal the  amount of weapons and axes and bottles you can smash someones skull with is great. the bosses are,"May  8, 2018"
Action Adventure|Fantasy|Open-World|,61,Monolith Productions,6.1,M,Warner Bros. Interactive Entertainment,Middle-earth: Shadow of Mordor - Lord of the Hunt,"In conjunction, Torvin and Talion hunt the wildest beasts of Mordor turning them against Sauron's forces. Hunt new monsters, unearth hidden lairs, earn special runes and dominate deadly creatures to turn against your enemies. Unlocks the exclusive Beast-hunter Skin and Test of the Wild Challenge Mode.","Dec 16, 2014"
Strategy|Miscellaneous|Turn-Based|Board / Card Game|General|,61,Zoe Mode,5.6,E10+,Ubisoft,Risk: Urban Assault,This game is basically the capital variant of Risk. It is much better than the previous Ubisoft Risk. Games move a lot faster than previous Risk because of the rules and faster AI animations.,"Aug  2, 2016"
Action|Shooter|Shoot-'Em-Up|Top-Down|,61,Fabrik Games,6.4,M,Fabrik Games,Filthy Lucre,If you are looking for an interesting take on the top-down genre of games and you are a fan of games such as Payday and Alienation you will,"Sep 16, 2016"
Action|General|,61,Badland Games,tbd,None,Badland Games,Demon's Crystals,"Demon’s Crystals is a frenetic twin stick shooter where you guide the Urican demons through countless hazards in order to restore peace to the world. The Urican have always been at the top of the food pyramid, but one day three mysterious beings arrived causing the once peaceful inhabitants of the world to become aggressive and destructive. [Playstation.com]","May 12, 2017"
Action|Beat-'Em-Up|3D|,61,Error 404 Game Studios,tbd,T,Blowfish Studios,Obey Me,"Obey Me is a 3D Brawler highlighting a duo of misfit demons fighting hordes of mutants, fiends and angelical machines alike. Set in the modern world, Heaven and Hell are locked in a millennial conflict for the souls of Mankind. Vanessa Held, a lowly Soul Huntress in the infernal ranks, and her Hellhound companion, Monty, will tip the balance of the war with their own hands. Roam through a city filled with peril, slashing, kicking and crushing your foes. Consuming their souls to get stronger, combining attacks, unlocking new combos, powers, and transformations.","Apr 21, 2020"
Role-Playing|Action RPG|,61,Still Running,6.9,M,Merge Games,Morbid: The Seven Acolytes,"Que Gran Juego, La verdad es que el efecto Soulsborne esta Muy bien implementado pero falta un poco de impulso su jugabilidad es brusca pero es muy bueno","Dec  3, 2020"
Action Adventure|Open-World|,61,Superbrothers,5.8,E,Superbrothers,JETT: The Far Shore,"JETT: The Far Shore invites you on an interstellar trip to carve out a future for a people haunted by oblivion in this cinematic action-adventure. As scout Mei, be the first to deploy to a mythic ocean planet. Take the helm of a 'jett' and explore a vast unknown – skim low over waves, roar","Oct  5, 2021"
Adventure|3D|First-Person|,61,3rd Eye Studios Oy LTD,4.8,T,3rd Eye Studios Oy LTD,Downward Spiral: Horus Station,"While nothing in this game is outstanding, in VR the atmosphere and graphics are great. Exploring the station in zero gravity is relaxing and fun and the views when space walking outside are awesome. Motion controls are great too for both movement and combat. I would recommend to pick this up on a sale when you get a chance.","Sep 18, 2018"
Action|Platformer|3D|,61,Drakhar Studio,6.2,E,Badland Games,Ginger: Beyond the Crystal,"A world destroyed by a crystal explosion, a mysterious threat hanging over its inhabitants, and a goddess who creates a hero. This is Ginger: Beyond The Crystal. Ginger must reestablish the connection with the goddess by purifying corrupted crystals that have spread throughout the worlds. It won’t be easy — the worlds are full of enemies and traps across 15 different levels. [Playstation.com]","Oct 25, 2016"
Adventure|3D|First-Person|,61,"Cyan, Inc.",5.6,E10+,"Cyan, Inc.",Obduction,"Everyday life is gone. An organic artifact that fell from the sky inexplicably transports you across the universe. You're in a place called Hunrath, with pieces of earth scattered within an alien landscape. Nobodys here - well... almost nobody. Explore, uncover, solve, decide. This is your story now.","Aug 29, 2017"
Action Adventure|Survival|,61,Survios,6.8,M,Survios,The Walking Dead Onslaught,"<span class=""blurb blurb_collapsed"">Graphics: 8/10<br/>One of the better looking VR games out with the walkers looking a little more realistic than they do in Saints &amp; Sinners.</span>","Sep 29, 2020"
Action Adventure|Survival|,61,Flight School Studio,5.3,E10+,Flight School Studio,Island Time VR,None,"Apr  3, 2018"
Action|Fighting|3D|,61,CyberConnect2,7.9,T,Bandai Namco Games,JoJo's Bizarre Adventure: Eyes of Heaven,The Bad: The netcode is horrendous so online multiplayer is pretty much useless and there is no local co-op to compensate. Some of the,"Jun 28, 2016"
Role-Playing|General|,61,Cattle Call,5.8,T,NIS America,Metal Max Xeno,"Recuerda a los buenos rpgs de la PS2, es muy old-school, tiene mucho grindeo y a veces te hace sentir realmente solo , que seguramente es lo que deseaban.el combate es muy bueno y la customizacion brutal.lo peor seguramente con más presut hubiese sido un juego que hubiese triunfado más pero se quedó en otro jrpg low cost.","Sep 25, 2018"
Racing|Arcade|Automobile|,61,Rainbow Studios,5.5,None,THQ Nordic,Monster Jam Steel Titans 2,"Monster Jam Steel Titans 2 features more fan-favorite trucks in brand new Monster Jam worlds. Brand new online multiplayer modes, 38 trucks to choose from and five new outdoor worlds! Drivers train at Camp Crushmore and compete in authentic stadiums to become the ultimate champion. Truck","Mar  2, 2021"
GT / Street|Driving|Racing|Simulation|GT / Street|Automobile|,61,Ubisoft Reflections,5.3,T,Ubisoft,The Crew,"Strap in for a ride that will find you infiltrating and taking down the 510s, a gang that has grown up amidst Detroit's illicit street racing landscape. You must establish your reputation in the underground racing scene and subvert their activities city-by-city throughout a fully-open world United States. Maneuver through the bustling streets of New York City and Los Angeles, drive down to sun-drenched Miami Beach, or trek through the picturesque plateaus of Monument Valley. Each location comes with its own set of surprises and driving challenges to tackle. On your journey you will confront other driver on the road - all potentially worthy companions to team up with, or future rivals to take down.","Dec  2, 2014"
Action|Rhythm|Music|,61,NanaOn-Sha,5.3,E,Sony Interactive Entertainment,PaRappa the Rapper Remastered,"Parappa returns to win over another generation of fans with all new PSP exclusive features. Players can once again join Parappa in his quest to win the heart of Sunny Funny and learn from their favorite Rap Masters like- Chop Chop Master Onion, Instructor Mooselini, and Cheap Cheap The Cooking Chicken. Complete with all the music and addictive gameplay that made it an instant classic, Parappa the Rapper is sure to please fans both old and new. Play all the songs and funky characters from the original game.","Apr  4, 2017"
Action Adventure|Open-World|,61,Rocksteady Studios,7.0,M,Warner Bros. Interactive Entertainment,Batman: Arkham Knight - A Matter of Family,"When The Joker kidnaps Commissioner Gordon and holds him hostage at the Seagate Amusement Park, Batgirl and Robin will fight against the odds to save him and avoid falling prey to The Joker’s sinister plan. Trained by Batman, Batgirl’s combat combines with unrivaled hacking abilities to defeat enemies, control objects and solve puzzles. ","Jul 14, 2015"
Action|Shooter|Shoot-'Em-Up|Top-Down|,61,Santa Clara Games,5.9,M,Badland Games,8DAYS,"The world has been dominated by dark forces since the beginning of human history. Known as the Masters of Mankind by those directly under their control, these forces will use any means necessary to protect their own interests including starting wars. In 8Days, the mercenary company G.O.D. (Gold, Oil, and Diamonds, Inc) and the 8DAYS Magazine are two modern instruments used to control the masses. You will have to face those conflicts and put them to an end… will you? [Playstation.com]","Feb  7, 2017"
Strategy|Turn-Based|General|Tactics|,61,"Frozenbyte, Inc.",6.5,E10+,GameTrust,Has-Been Heroes,"<span class=""blurb blurb_collapsed"">Embark on an epic journey with the Has-Been Heroes, a group of legendary champions once celebrated throughout the kingdom - almost forgotten until the King has one more quest, the most epic of them all:<br/> <br/>TO TAKE THE TWIN PRINCESSES TO SCHOOL!

Key features:

* Meet the epic band of</span>","Mar 28, 2017"
Action|General|,61,HexaDrive,6.4,T,Oasis Games,Monkey King: Hero is Back,"A new chapter in the Chinese legend of Journey to the West is about to unfold! Based on the animated film Monkey King: Hero Is Back, this adaptation pits the Great Sage himself, Sun Wukong, newly freed after 500 years of imprisonment, with Liuer, a young boy who looks up to the Monkey King in a journey that brings them close together.","Oct 17, 2019"
Role-Playing|Massively Multiplayer|,61,Pearl Abyss,3.9,T,Pearl Abyss,Black Desert,"Black Desert for ps4 is a great mmo. For about 2 years I have been waiting for the perfect console mmorpg and finally was pulled in by black desert. Its hack and slash fighting makes it easy to level up. Although the controls are a bit tough to get used to because it's not like a traditional mmo it really sucks you in once you get the hang of it. You can do a lot more than what I've seen in other games as far as farming and objectives you can set your self instead of just grinding quests. Farming supplies and being a ""merchant"" with a cart is actually something which makes the game more immersive. It's not necessarily ""pay to win"" as most of the micro transactions just make it more convenient to progress a little faster and most the stuff you have to pay for is really just cosmetic. I used to play WoW for about 10 years but as I have gotten older my body couldnt take long gaming sessions sitting at a desk playing in 1 position for much longer. Then came along Elder Scrolls Online for console and I was immersed in that from the time it came out to about a year ago so roughly about 3 years of heavy daily playing. As with any mmo the ""grind"" felt more more like an obligation because I repaying a monthly subscription and finding good gear became really boring after you could easily customize any gear you had to look a certain way.","Aug 22, 2019"
Action|Shooter|First-Person|Arcade|,61,Vertigo Games,5.6,M,Vertigo Games,After the Fall,"From Vertigo Games (Arizona Sunshine) comes an epic VR action FPS with intense cross-platform co-op gameplay that pits up to 4 players against relentless hordes and larger-than-life bosses in a bid to take back the city. 2005, LA. A generation has passed since the ferocious snowbreed began","Dec  6, 2021"
Sports|Individual|Biking|,61,Cyanide,4.4,E,Nacon,Tour de France 2020,"Experience the intensity of the Tour de France with the official game. To wear the yellow jersey on the Champs-Elysees, you will need to take risks, attack, sprint and perfect your race tactics. Try out the new, immersive first-person camera and test it in the iconic Liege-Bastogne-Liege","Jun  4, 2020"
Action|Fighting|3D|,61,Bandai Namco Games,6.4,T,Bandai Namco Games,J-Stars Victory Vs+,"This game is for shonen jump anime fans only because only us,  the fans can look past the game's faults and appreciate it for the masterpiece that it is. There are loads of things to do and the game is super fun.","Jun 30, 2015"
Miscellaneous|Compilation|,61,Raven Software,6.6,T,Activision,Marvel: Ultimate Alliance Bundle,"<span class=""blurb blurb_collapsed"">This Ultimate Alliance Bundle contains both games from the historic franchise!<br/>Marvel: Ultimate Alliance<br/>Create an ultimate team from the largest Super Hero alliance ever as you engage in an epic quest to determine the fate of the Marvel Universe. 
• Control your own completely unique team</span>","Jul 26, 2016"
Action|Shooter|Shoot-'Em-Up|Vertical|,61,NG:DEV.TEAM,tbd,E,EastAsiaSoft,Fast Striker,None,"Oct 16, 2018"
Role-Playing|Action RPG|,61,Nippon Ichi Software,6.3,T,NIS America,The Witch and the Hundred Knight 2,"Follow the Hundred Knight in its journey through a witch-ravaged world. Young girls are contracting a strange illness and awakening as witches, causing mayhem across the region of Kevala. Along the Hundred Knight's side are two sisters: Amalie, an agent of an organization who opposes","Mar 27, 2018"
Adventure|3D|First-Person|,61,Bloober Team,6.4,M,Aspyr,Layers of Fear: Inheritance,None,"Aug  2, 2016"
Action|Rhythm|Music|,61,SegaSoft,6.8,T,SegaSoft,Hatsune Miku VR: Future Live,"When you don your PS VR headset and put on those headphones, you get transported to Miku’s world. Surrounded by thousands of screaming fans, you raise up your glowstick, swinging in time to the music. As you get more into the concert, waving your controller and singing along out loud, the concert reacts to you, showering the stage in light and effects that exceed the constraints of our boring old physical world. [SEGA - Playstation.com]","Oct 13, 2016"
Simulation|Vehicle|Civilian|,61,stillalive studios,7.1,E,astragon,Bus Simulator,"Your bus. Your route. Your schedule. In Bus Simulator, experience the exciting everyday life of a bus driver in a vast and freely drivable urban area, whether in the industrial or harbor zone, downtown, in the surrounding villages or the business park. What are you waiting for? Your shift has already started.","Aug 14, 2019"
Puzzle|Action|,61,Team17,4.5,T,Team17,Flockers,"This game is very clunky, and feels very unpolished. It is really hard to get motivated to play this, and I would stay away unless you are really into this kinda game.","Sep 23, 2014"
Action Adventure|Adventure|General|Open-World|,61,Appeal,5.8,T,Maximum Games,Outcast: Second Contact,"<span class=""blurb blurb_collapsed"">This game aged surprisingly well.<br/>Second Contact is basically 1:1 remaster of the old game. So if you played it, here are the differences:</span>","Nov 14, 2017"
Simulation|Racing|Arcade|Automobile|,61,Ghost Games,4.3,T,Electronic Arts,Need for Speed Payback,"Set in the underworld of Fortune Valley, players drive as three distinct characters reunited by a quest for vengeance against The House, a nefarious cartel that rules the city’s casinos, criminals and cops. They take on a variety of challenges and events as Tyler, the Racer; Mac, the Showman; and Jess, the Wheelman to earn the respect of the underground. Featuring the deepest customization from the series, players can truly craft a personalized and unique ride, or spend hours finding and tuning an abandoned derelict into a supercar. They can then push their cars to the limit and raise the stakes by betting on their own performance, where they can either multiply their winnings or risk losing it all. [Electronic Arts]","Nov  7, 2017"
Miscellaneous|Compilation|,61,B.B.Studio,tbd,E10+,Bandai Namco Games,Namco Museum Archives Vol. 2,None,"Jun 18, 2020"
Action|Platformer|3D|,61,Etranges Libellules,6.8,None,Microids,Asterix & Obelix XXL 2,"<span class=""blurb blurb_collapsed"">Getafix, a traitor?<br/>So says Sam Shieffer, ex-super spy of the Roman Empire... Asterix &amp; Obelix head off to Las Vegum, Caesar's gigantic theme park in the heart of Rome. Will our heroes manage to foil Caesar's plan?<br/>
- 2 characters to control at a time
- Action-packed combat
- Multiplayer</span>","Nov 29, 2018"
Role-Playing|Action RPG|,61,Ronimo Games,tbd,T,Devolver Digital,Blightbound,"The world lies in peril. Decades ago, a band of legendary warriors slayed the dreaded Shadow Titan after a long and ferocious struggle, but their celebration was short-lived. The Shadow Titan's true intentions revealed themselves when from his broken husk flowed the Blight; a corrupting fog","Jul 27, 2021"
Adventure|3D|First-Person|,61,Nilo Studios,5.3,T,Nilo Studios,Asemblance,"You wake up to blaring alarms — a red light dashes across your vision. The AI tells you that we are in an emergency situation, questioning why","Jun 21, 2016"
Action|Platformer|2D|,61,Italic Pig,tbd,E,Team17,Schrodinger's Cat and the Raiders of the Lost Quark,None,"May 12, 2015"
Beat-'Em-Up|Action|Fighting|2D|,61,Angry Mob Games,5.4,E10+,Angry Mob Games,Brawlout,"Brawlout packs a punch with couch and online play modes, blending platform fighter mechanics and traditional fighting game play into a stylish and fluid battle royale. Rather than slow-paced defensive battles, Brawlout goes all-out with the lightning-fast aerobatics which platform fighters are famous for. Striking the balance between the growing competitive scene and the genre’s party game roots, Brawlout hopes to cater to the veteran platform fighter, the casual fan and the newcomer looking to make their mark. ","Aug 21, 2018"
Action|Shooter|First-Person|Arcade|,61,Ratalaika Games,tbd,E,Ratalaika Games,Bouncy Bullets,None,"Jul  9, 2019"
Adventure|3D|Third-Person|,60,Frost Monkey Games,5.4,E,"Factoria Cultural Gestio, S.L.",Massira,"“Massira” is a story driven, puzzle adventure game with a “low poly” style, where you will experience an unforgettable adventure in the shoes of a girl and her grandmother, who make a trip from Syria to Europe, all seen through the eyes of the little one. Oriented to a sensitive audience, with a taste for good stories, you can face reality while enjoying yourself as a child again thanks to its artistic style.","Sep 16, 2019"
Sports|Individual|Combat|Wrestling|,60,Saber Interactive,4.8,T,2K Games,WWE 2K Battlegrounds,"The world of WWE is your battleground with all-new, over the top, in-your-face arcade action as your favorite WWE Superstars and Legends battle it out in outlandish interactive environments around the world. Compete with your friends in your favorite match types with an arsenal of exaggerated maneuvers, special abilities, and devastating power-ups, including Steel Cage, Royal Rumble, Fatal Four Way and more, as Mauro Ranallo and Jerry ""The King"" Lawler call all the mayhem! Are you ready to enter the battleground?","Sep 18, 2020"
Miscellaneous|Compilation|,60,"Pipeworks Software, Inc.",7.9,M,Capcom,Devil May Cry HD Collection,"<span class=""blurb blurb_collapsed"">Really great collection, with maybe the exception of Devil May Cry 2.<br/> <br/>Load times are SUPER fast compared to the previous HD collection and</span>","Mar 13, 2018"
Simulation|General|,60,Vile Monarch,tbd,T,Gambitious,Oh...Sir! The Insult Simulator,None,"May 30, 2017"
Action|Platformer|2D|,60,Aqua Style,5.9,T,NIS America,Touhou Double Focus,"At a certain rental bookstore in Gensokyo... Like any other day, Kosuzu Motoori tended to the store until one book caught her eye. Although she was quite knowledgeable about magical books, she had never seen anything like it. After making sure no one was around, she stroked the cover with","Mar 21, 2017"
Adventure|General|,60,Wales Interactive,5.6,M,Wales Interactive,The Complex,"The Complex is an interactive sci-fi thriller movie from the publishers of Late Shift and The Bunker. After a major bio-weapon attack on London, two scientists find themselves in a locked-down laboratory with time, and air, running out. Your actions and your relationship with other characters will lead you to one of eight suspenseful endings.","Mar 31, 2020"
Action Adventure|General|,60,Stage 2 Studios,4.6,T,Stage 2 Studios,Lifeless Planet: Premier Edition,"Lifeless Planet is a new 3D PC action adventure, independently developed by David Board and Alaska-based Stage 2 Studios and to be published world-wide by Lace Mamba Global in Q4 2012. The game puts players in the moon-boots of a volunteer astronaut on a one-way mission to a life-bearing planet far outside our solar system. But after a rough landing, the promise of a new Earth soon fades with the discovery that the planet he was to explore is now barren and inhospitable.","Jul 19, 2016"
Role-Playing|General|,60,Nordic Games Publishing,5.5,M,Nordic Games Publishing,The Dwarves,"The Dwarves is a fantasy role-playing game with a strong story and tactically challenging real-time battles. 15 playable heroes, each with individual skills, are to be deployed cleverly. Take on superior numbers of orcs, ogres, älfs, bögnilim, zombies, dark mages, and many more foes, to give them the low-down.","Dec  1, 2016"
Action Adventure|Survival|,60,Capcom,6.6,M,Capcom,Resident Evil 6,"Resident Evil 6 is a Survival-Horror game that continues the struggle against the series' signature zombie inducing bio-terror, while raising the bar with all new game functionality. Players enjoy a diverse play experience, highlighted by the ability to select between three scenarios featuring multiple characters and intertwined storylines. Within these scenarios both stories and action cross paths. Additional features include zombies as well as new enemies, upgradable firepower and characters, vehicle based options, the mini-game based Mercenaries mode, and single-player and co-op play options.","Mar 29, 2016"
Action|Platformer|2D|,60,Jankenteam,6.5,E,Merge Games,Alex Kidd in Miracle World DX,"<span class=""blurb blurb_collapsed"">Since his first appearance in 1986 with Alex Kidd in Miracle World, the iconic Alex Kidd makes his return to smash rocks, collect coins and tackle bosses once again in Alex Kidd in Miracle World DX!<br/><br/>Return The Kingdom of Radaxian to its former glory and destroy the evil Janken the Great!</span>","Jun 22, 2021"
Adventure|3D|First-Person|,60,Blue Isle Studios,6.6,T,Majesco Games,Slender: The Arrival,"If you want to get creeped out -- this game does it well. It knows exactly what it is, and it's an ACTUALLY scary Slender game. One thing this game isn't very good at -- is being a game. You very often feel cheated by the game's broken mechanics (such as the proxy), and the story itself isn't at all deep or compelling at all. In order to truly capture the entire experience, you would need to collect all the collectibles at the beginning of every level before running through, but that's it. There really doesn't feel enough in this game to make you stay. This is not Outlast, this is Slender which wants to be Outlast.","Mar 24, 2015"
Role-Playing|Action RPG|,60,BetaDwarf,tbd,T,BetaDwarf,Forced: Slightly Better Edition,its okay with friends and its not as hard as the devs say in game but some challenges are pretty annoying. still the combat is wonky and slow and not satisfying but overall fine.,"Oct 20, 2015"
Puzzle|Action|Platformer|2D|,60,4 Door Lemon,5.5,T,Vision Games Publishing LTD,101 Ways to Die,A game that makes me laugh and want to play more. I also like the way it gets quite challenging later on so don't be fooled by early easy levels. The graphics are great and the Splatts entertaining.,"Mar 22, 2016"
Action|Platformer|2D|,60,Webcore Games,6.3,T,Webcore Games,My Night Job,"Black night, an abandoned mansion, and a bunch of monsters. Sounds like the perfect job. Players must use an array of weapons to save their skin and master the challenge of leading survivors to safety, while also defending the building from invaders. Use more than 60 weapons, from vases and floor lamps to chainsaws, shotguns, and ginormous hammers. [Playstation.com]","May 17, 2016"
Role-Playing|Western-Style|,60,Bethesda Game Studios,4.5,None,Bethesda Softworks,Fallout 4: Vault-Tec Workshop,"Build a brighter future underground with the all-new Vault-Tec Workshop. Create a massive Vault and attract new Dwellers using pre-war industrial kits complete with retro-nostalgic furniture, lighting, and art. Even change and customize the look of your inhabitants with new barbershops and cosmetic surgery stations. And like every good Overseer, run Vault-Tec approved experiments on your Dwellers to learn what makes an ideal citizen. Vault-Tec has given you the tools, the rest is up to you!","Jul 26, 2016"
Action|Rhythm|Music|,60,Ubisoft,6.1,E10+,Ubisoft,Just Sing,None,"Sep  6, 2016"
Action|Platformer|2D|,60,BSK Games,3.8,M,Badland Games,Anoxemia,"Anoxemia is a side-scrolling game by Badland Games, it will have you struggling for ""oxygen"" were every move you make is determined by the","Mar 28, 2017"
Role-Playing|Action RPG|,60,Square Enix,8.3,None,Square Enix,Final Fantasy XV: Episode Ardyn,"Quando os caras evoluem no desenvolvimento técnico e gráfico do jogo, ainda somos obrigados a ler reviews com notas 60. Parece que essa ""mídia especializada"" nem jogou realmente o jogo completo e todas as dlcs. Se assim tivessem feito, veriam a evolução. Acredito que a intenção dos desenvolvedores é ganhar experiência no hack nd slash RPG para lançarem todos esses aprendizados no próximo FFXVI.","Mar 26, 2019"
Action Adventure|Survival|,60,The Farm 51,7.0,M,The Farm 51,Chernobylite,"<span class=""blurb blurb_collapsed"">Chernobylite is a new game from the creators of the critically-acclaimed Get Even.<br/>It's a science-fiction survival horror experience, mixing the free exploration of its disturbing world with challenging combat, unique crafting, and non-linear storytelling. Play as a physicist, one of the</span>","Sep 28, 2021"
Role-Playing|Action RPG|,60,"Laser Guided Games, LLC",tbd,None,Digerati Distribution,Golem Gates,None,"May 28, 2019"
Racing|Simulation|Automobile|,60,N-RACING,3.7,E,Bigben Interactive,Truck Racing Championship,"The European Truck Racing Championship is one of the most spectacular and challenging motor racing competitions. The driving difficulty and many unique race features have been faithfully reproduced with the KT Engine (WRC). In ETRC, like on real-life race tracks, you need to control the temperature of your brakes so they don't overheat. You must also consider the weight of the truck when cornering, monitor tyre wear and find the best tactics for overtaking.","Aug 20, 2019"
Simulation|Virtual|Virtual Life|Career|,63,Weappy Studio,6.5,M,THQ Nordic,This Is the Police,"I found this game to be a hidden gem. I turned the game on the first time and sat and played if for almost all of my Saturday. The premise is simple but addicting and I enjoyed the story line even if it was a but cliche/linear. This is a great game to relax and play after a hectic FPS. I would say give this game a try, at the time of writing this I only paid $14 for the game. Well worth the price of entry.","Mar 22, 2017"
Role-Playing|Western-Style|,63,Bethesda Game Studios,5.9,None,Bethesda Softworks,Fallout 76: Wastelanders,"I avoided this game at launch because well, we all know why. But when Wastelanders dropped and I read about it, I said sure, used copies cost next to nothing. Worth a shot. I've now sank 100+ hours and sold several friends on it. Sure, it still has some weird bugs here and there, but it's far more functional than games like Red Dead Online. Nothing really game breaking. Just weird stuff will happen every so often. Appalachia is by far my favorite Fallout map. It's beautiful to look at. Appalachia is home to me in RL. So all of the folk lore incorporated in this game is just stuff we're all familiar with here at home. Pepperoni rolls and Wendigos baby! Either way, I've played every Fallout to date and I'd say this is the only one in league with New Vegas. I think Wastelanders is a considerably better effort than FO3 or 4. They really turned this turd into something great.","Apr 14, 2020"
Action Adventure|Survival|,63,Rock Pocket Games,4.5,M,Funcom,Moons of Madness,"Moons of Madness is a first-person, story-driven cosmic horror game where the scientific exploration of Mars meets the supernatural dread of Lovecraft. As a technician stationed on Mars, you begin seeing and hearing things that aren’t there. Visions, hallucinations — is that even what it is? Or are you slowly descending into madness?","Mar 24, 2020"
General|Action Adventure|Linear|,63,Ubisoft,4.3,T,Ubisoft,Assassin's Creed Chronicles: India,"Assassin's Creed Chronicles: India throws you into the tension between the Sikh Empire and the East India Company in 1841. When a Master Templar arrives with a mysterious item that used to belong to the Assassin Order, Arbaaz Mir must discover why he's come, steal back the item, and protect his friends and his lover.","Jan 13, 2016"
Action|Shooter|Shoot-'Em-Up|Top-Down|,63,Blindflug Studios,5.6,E10+,Blindflug Studios,Airheart: Tales of Broken Wings,"AIRHEART follows Amelia, a young pilot and sky-fisherwoman who dreams of reaching the stratosphere and catching the legendary Skywhale, a feat that promises riches and fame through the ages. Skyfishing is a cutthroat business, though, and Amelia must outmaneuver sky pirates and automated security zones to survive each perilous flight through the beautiful world of floating islands in the clouds she calls home.","Jul 24, 2018"
Adventure|3D|First-Person|,63,Psytec Games Ltd,7.0,E,Psytec Games Ltd,Windlands,This game is beautiful! and if you dont have problems with motion sickness then this game is a must. its so fun jumping from tree to tree. trying to get to the goal. feels like an adventure.,"Oct 25, 2016"
